scheme,m,median_names,share_short,min_names
JSON4,2,8.0,1.0,0
JSON4,3,12.0,1.0,0
JSON4,4,16.0,1.0,0
JSON4,5,20.0,0.3422222222222222,0
JSON4,6,20.0,0.2088888888888889,0
JSON4,8,20.0,0.16444444444444445,0
JSON4,10,20.0,0.16,0
JSON4,20,20.0,0.1511111111111111,0
SLEEVE2,2,4.0,1.0,0
SLEEVE2,3,6.0,1.0,0
SLEEVE2,4,8.0,1.0,0
SLEEVE2,5,10.0,1.0,0
SLEEVE2,6,12.0,1.0,0
SLEEVE2,8,16.0,1.0,0
SLEEVE2,10,20.0,0.2222222222222222,0
SLEEVE2,20,20.0,0.1511111111111111,0
