rule,dial,arm,n,const,map,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,d_vs_S0,t_vs_S0,wins,losses,pass4a,pass4b
CANON,MILD,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
CANON,MILD,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.8008881573090341,0.11725428039603857,-0.281392591115832,0.11527349509036319,16.957439564153375,284,77,86,53
CANON,MILD,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.8112911221707307,0.12186259951125328,-0.2874382652550262,0.12567645995206,18.563095422986407,303,58,69,51
CANON,MILD,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.7183686164494071,0.09875781646969067,-0.26401596533168703,0.03275395423073617,6.5008432271405345,209,152,103,40
TIGHT,MILD,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
TIGHT,MILD,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.7944381490103956,0.11425231094924815,-0.2779704539598018,0.10882348679172459,16.22755195693214,272,89,93,54
TIGHT,MILD,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.8112911221707307,0.12186259951125328,-0.2874382652550262,0.12567645995206,18.563095422986407,303,58,69,51
TIGHT,MILD,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.7183686164494071,0.09875781646969067,-0.26401596533168703,0.03275395423073617,6.5008432271405345,209,152,103,40
TIGHTZ,MILD,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
TIGHTZ,MILD,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.7746472527049192,0.10579208242350546,-0.26560837346536437,0.08903259048624831,15.077996165302043,238,123,106,55
TIGHTZ,MILD,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.8112911221707307,0.12186259951125328,-0.2874382652550262,0.12567645995206,18.563095422986407,303,58,69,51
TIGHTZ,MILD,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.7183686164494071,0.09875781646969067,-0.26401596533168703,0.03275395423073617,6.5008432271405345,209,152,103,40
CANON,STRONG,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->WIDE,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
CANON,STRONG,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->WIDE,0.6647358014507697,0.09498631080438674,-0.3107584045798245,-0.020878860767901106,-2.8150698091554367,168,193,51,3
CANON,STRONG,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->WIDE,0.6554913792269695,0.09940635035264594,-0.32368419053200415,-0.03012328299170128,-4.009956333763663,165,196,21,0
CANON,STRONG,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->WIDE,0.687394092086887,0.08983045145488688,-0.2642773850203249,0.0017794298682161092,0.38536121988402927,176,185,97,27
TIGHT,STRONG,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
TIGHT,STRONG,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.6587179825748734,0.09269259357051139,-0.3090068193554357,-0.026896679643797553,-3.671796104080282,156,205,49,2
TIGHT,STRONG,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.6554913792269695,0.09940635035264594,-0.32368419053200415,-0.03012328299170128,-4.009956333763663,165,196,21,0
TIGHT,STRONG,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW,0.687394092086887,0.08983045145488688,-0.2642773850203249,0.0017794298682161092,0.38536121988402927,176,185,97,27
TIGHTZ,STRONG,S0,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.6856146622186708,0.09578404402449164,-0.26174556201141375,0.0,,0,0,107,67
TIGHTZ,STRONG,S1,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.6678766686674805,0.0873988430570506,-0.28101967969348435,-0.01773799355119034,-2.8645547360159402,138,223,67,4
TIGHTZ,STRONG,S2,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.6554913792269695,0.09940635035264594,-0.32368419053200415,-0.03012328299170128,-4.009956333763663,165,196,21,0
TIGHTZ,STRONG,S3,361,SLOW,CAGR->SLOW;DD->GDN;H1->SLOW;H2->SLOW;OOS->SLOW,0.687394092086887,0.08983045145488688,-0.2642773850203249,0.0017794298682161092,0.38536121988402927,176,185,97,27
