knob,n_bar_units,n_stating,share_stating,n_verdict_units,n_verdict_stating,share_verdict_stating
K_SEED,987,114,0.11550151975683891,809,91,0.11248454882571075
K_B,987,87,0.08814589665653495,809,64,0.07911001236093942
K_DRAW,987,70,0.07092198581560284,809,55,0.06798516687268233
K_RECENTRE,987,14,0.014184397163120567,809,11,0.013597033374536464
