claim_set,n_files,n_rows,n_files_publishing_ratio,n_rows_publishing_ratio,share_files,share_rows
CS_STRICT,569,593172,1,6,0.0017574692442882249,1.011510995124517e-05
CS_HALVES,1788,2140569,0,0,0.0,0.0
CS_ALL,2274,2587354,1,6,0.00043975373790677223,2.318971427953036e-06
