panel,conv,bps,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_CAGR,ctrl_Sharpe,ctrl_MaxDD,v1_Sharpe,spy_CAGR,spy_Sharpe,spy_MaxDD,regret
u56,LIT,5,frac085/M,1.1277982595455245,0.14566885716622613,1.2547566007841804,-0.18803857130915547,0.11795838416005067,1.1533494464847185,-0.15822130116409916,0.8627148928624649,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.1014071542994619
u56,LIT,10,frac085/M,1.1091032236555391,0.14322580945681862,1.2361253189934818,-0.1884008808260874,0.11329149227062874,1.111874408264675,-0.1587470484779454,0.747063834691694,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.12425091072880678
u56,LIT,25,frac085/M,1.0527575467394457,0.135924122013378,1.1799027732055545,-0.18948780937688492,0.09940302871023943,0.9871576088117031,-0.16113530298864687,0.39920030769495,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.19274516439385136
u56,MATCH,5,frac085/M,1.1277982595455245,0.14575872441420512,1.2547566007841804,-0.18814534069495137,0.11792533159022778,1.1533494464847185,-0.15817997186570387,0.8627148928624649,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.1014071542994619
u56,MATCH,10,frac085/M,1.1091032236555391,0.14331400841833375,1.236125318993482,-0.18850781652000104,0.11325987239033153,1.1118744082646748,-0.15870559900452685,0.747063834691694,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.12425091072880723
u56,MATCH,25,frac085/M,1.0527575467394457,0.13600735145521048,1.1799027732055543,-0.1895952439951486,0.09937564140444888,0.987157608811703,-0.16109317207492346,0.39920030769495,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.19274516439385125
B136,LIT,5,top20/M,1.2608120786985795,0.1605317128604853,1.0273229843018583,-0.2608530439533294,0.11054903159347917,1.0595466465841108,-0.17510968478706435,0.7166675545043932,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.032223662282252485
B136,LIT,10,top20/M,1.2386787755380104,0.15673660457118688,1.006515564536546,-0.2610459352657425,0.10583657394304091,1.0185476662771331,-0.17687931105226462,0.5762505378038233,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.012032101740587109
B136,LIT,25,top20/M,1.1719607859553292,0.1454189919484632,0.9438624203901402,-0.26162460920298103,0.09181456009217115,0.8953399181114371,-0.18217043484345774,0.15539928865606328,0.1545044425578177,0.8820239235972316,-0.3371595330739301,-0.04852250227870314
B136,MATCH,5,top20/M,1.26081207869858,0.1630991487746385,1.027322984301858,-0.26469633563173256,0.1105210740864977,1.0595466465841106,-0.17506780370604103,0.7166675545043932,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.032223662282252485
B136,MATCH,10,top20/M,1.2386787755380102,0.15923411765185458,1.0065155645365462,-0.2648912274749239,0.10580992643369647,1.018547666277133,-0.1768370681455722,0.5762505378038233,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.012032101740586665
B136,MATCH,25,top20/M,1.1719607859553294,0.14770909778809127,0.94386242039014,-0.2654759030044965,0.09179178142682987,0.895339918111437,-0.1821271146147604,0.15539928865606328,0.1545044425578177,0.8820239235972316,-0.3371595330739301,-0.04852250227870303
