axis,rungs,total_run_mass,top1_rung,top1_share,top2_share,rungs_covering_90pct,herfindahl
N,51,1228.0,20,0.4568403908794788,0.5407166123778502,10,0.23837520822502095
GROSS,32,1538.0,0.75,0.4466840052015605,0.7015604681404422,7,0.2747501103386933
COST,173,3536.0,10.0,0.4236425339366516,0.6405542986425339,17,0.2452570906103478
CADENCE,4,1469.0,W,0.5473110959836623,0.7903335602450646,3,0.38566452313086286
