panel,dial,res,step,val,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,IS_Sharpe,m_min,bind,IS_m_min,pass4b,pass4a,turn_yr,m_H1,m_H2,m_OOS,m_DD,m_CAGR
U56,band,x1,0.01,0.0,0.08192726382671256,1.1730113515331757,-0.1206209688478902,1.1934107577812096,1.157330715595031,1.2602713384070487,0.09065938470328705,-0.12062096884789053,1.0620137162878582,-0.02415244116313288,CAGR,-0.03328042183142821,0,0,3.1494805210771433,0.23471683599028148,0.3316720233810556,0.38449295827807795,0.08168244285249956,-0.02415244116313288
U56,band,x1,0.01,0.01,0.08391306904459528,1.19142900027337,-0.12076251952057993,1.2133666730502393,1.1743802969546149,1.2742002059279531,0.09236879705381518,-0.12076251952058026,1.0862545568275643,-0.02216663594525016,CAGR,-0.030965396614063945,0,0,2.621230661504613,0.2546727512593111,0.3487216047406395,0.39842182579898233,0.08154089217980984,-0.02216663594525016
U56,band,x1,0.01,0.02,0.08498311216882559,1.2006736276041299,-0.11689377438260462,1.2114640264786627,1.193938122342911,1.28974199832875,0.0941147910682596,-0.11689377438260484,1.0872308922005856,-0.021096592821019847,CAGR,-0.030700689946036697,0,0,2.166806171212284,0.25277010468773453,0.3682794301289357,0.4139636181997791,0.08540963731778514,-0.021096592821019847
U56,band,x1,0.01,0.03,0.08652985234021404,1.2092272535344055,-0.11896569629881126,1.2359655511245395,1.1885984596161216,1.2875770624908123,0.09511816914319215,-0.11896569629881149,1.1092642021777381,-0.019549852649631397,CAGR,-0.02850686480671083,0,0,1.7880167389781125,0.2772716293336114,0.3629397674021463,0.4117986823618415,0.0833377154015785,-0.019549852649631397
U56,band,x1,0.01,0.04,0.08442002468028198,1.1750882621939704,-0.12406446151189587,1.1944735028429525,1.1620465458794447,1.2620559685789101,0.09419062838432835,-0.12406446151189576,1.0631101417163944,-0.02165968030956346,CAGR,-0.03202384789071111,0,0,1.5750056734454827,0.23577958105202435,0.3363878536654693,0.3862775884499393,0.07823895018849389,-0.02165968030956346
U56,band,x1,0.01,0.05,0.0833417819840272,1.1536525402425075,-0.1241882399756894,1.1967283559904673,1.1192542912301169,1.2210782837864766,0.0913778770154936,-0.1241882399756894,1.0673077728575628,-0.022737923005818242,CAGR,-0.031036193268248358,0,0,1.4270518775796435,0.23803443419953918,0.2935955990161415,0.34529990365750585,0.07811517172470037,-0.022737923005818242
U56,band,x1,0.01,0.06,0.08343832589555555,1.1472786321573685,-0.13341324095651796,1.1917198580672772,1.1118227749514875,1.2161785092580166,0.09167286123078089,-0.13341324095651774,1.0589678454833833,-0.022641379094289885,CAGR,-0.0311763650546808,0,0,1.3053598668874316,0.23302593627634904,0.28616408273751215,0.3404001291290458,0.0688901707438718,-0.022641379094289885
U56,band,x1,0.01,0.07,0.08538813051005678,1.1645434401639108,-0.13568444675914504,1.2286533854676083,1.112539039703542,1.2122988126352459,0.09225584689070798,-0.1356844467591447,1.1036939576720477,-0.020691574479788657,CAGR,-0.027594326545819836,0,0,1.200879192722078,0.2699594636766801,0.2868803474895666,0.33652043250627506,0.06661896494124472,-0.020691574479788657
U56,band,x1,0.01,0.08,0.08564286033116453,1.1555544264639939,-0.14354789992619743,1.246685759864209,1.080708904741993,1.1787576634455326,0.09071253666753387,-0.14354789992619688,1.1269682075077283,-0.02043684465868091,CAGR,-0.025185320941129907,0,0,1.1334138606700679,0.28799183807328077,0.25505021252801774,0.30297928331656176,0.05875551177419233,-0.02043684465868091
U56,band,x1,0.01,0.09,0.08527658864762544,1.148545346626503,-0.1414815989421453,1.2518883230192384,1.0637185923456054,1.1590414487726444,0.08939823298537508,-0.14148159894214551,1.1368147773071162,-0.02080311634222,CAGR,-0.024412551033964114,0,0,1.0771440686503742,0.2931944012283102,0.23805990013163003,0.28326306864367357,0.06082181275824447,-0.02080311634222
