bps,ctrl,window,n_cells,zero_or_neg,share_zero,mean,median,q10,q90
0,EW_ALL,full,92,84,0.9130434782608695,-0.1343266630481075,-0.13750553631807322,-0.27068237093190783,-0.003029895473251772
0,EW_ALL,H1,92,78,0.8478260869565217,-0.1464506393196502,-0.13211841847108263,-0.35190041639365943,0.03952367731302109
0,EW_ALL,H2,92,79,0.8586956521739131,-0.14108141849928932,-0.14218693429689935,-0.29137533629789697,0.020159653886946016
0,EW_ALL,OOS,92,75,0.8152173913043478,-0.10807491800164397,-0.10777846732230659,-0.2751650135150068,0.06291565461706461
0,EW_GATED,full,92,78,0.8478260869565217,-0.08747244120825863,-0.07138950882379708,-0.22089802576541287,0.016351624587417322
0,EW_GATED,H1,92,64,0.6956521739130435,-0.04022085707972942,-0.04221842069449533,-0.20087565757495632,0.10099296894293802
0,EW_GATED,H2,92,76,0.8260869565217391,-0.12020983939614878,-0.11516136589920728,-0.2902088557472019,0.02836757400052472
0,EW_GATED,OOS,92,72,0.782608695652174,-0.10879103801949781,-0.09151772000076011,-0.3252041119924447,0.06110129765259355
10,EW_ALL,full,92,92,1.0,-0.2265642621725413,-0.2337421884875348,-0.36732471214396434,-0.07462553845909652
10,EW_ALL,H1,92,87,0.9456521739130435,-0.23973820798474094,-0.227388793384515,-0.4416890064010984,-0.04410689056135838
10,EW_ALL,H2,92,88,0.9565217391304348,-0.23263471562302265,-0.2351689179854278,-0.40091253167338015,-0.05981585372302867
10,EW_ALL,OOS,92,84,0.9130434782608695,-0.20012529161058853,-0.20685425495063442,-0.37878849379275087,-0.022936468967322498
10,EW_GATED,full,92,87,0.9456521739130435,-0.13936392017252353,-0.1224479179979584,-0.28419068782873286,-0.03365663506401136
10,EW_GATED,H1,92,74,0.8043478260869565,-0.09337176903704365,-0.09312262557650938,-0.25990523097360124,0.05069428687330207
10,EW_GATED,H2,92,83,0.9021739130434783,-0.17117774656655776,-0.16257973872058948,-0.3450655570851917,-0.011425330392079533
10,EW_GATED,OOS,92,82,0.8913043478260869,-0.1595597221374556,-0.1351202969143114,-0.3821076502832035,0.003009573290533806
25,EW_ALL,full,92,92,1.0,-0.3650907663589856,-0.38238838372044126,-0.5270165352336891,-0.19100400806647386
25,EW_ALL,H1,92,92,1.0,-0.37987032291223444,-0.37136734106632263,-0.5897031671405638,-0.17306250628019404
25,EW_ALL,H2,92,91,0.9891304347826086,-0.3701082271405131,-0.3697984547575912,-0.5569140596231225,-0.1846273701644266
25,EW_ALL,OOS,92,90,0.9782608695652174,-0.33836787284670605,-0.3462363337624523,-0.5266950241608971,-0.15104099167364074
25,EW_GATED,full,92,92,1.0,-0.21731643439139603,-0.19931985561240312,-0.3793396645763198,-0.083463217385463
25,EW_GATED,H1,92,88,0.9565217391304348,-0.17326806594122457,-0.16004540357072575,-0.3504302769813406,-0.024882451810296136
25,EW_GATED,H2,92,92,1.0,-0.24770190699147895,-0.24339638850652667,-0.4323247837613858,-0.06913129033562523
25,EW_GATED,OOS,92,88,0.9565217391304348,-0.2358078264221858,-0.20976788101129035,-0.4671825178810699,-0.054367305166112274
