universe,sleeve,book,n_assets,corr,corr_IS
u56,SCASH,v1,0,0.0,0.0
u56,SCASH,top20,0,0.0,0.0
u56,SCASH,ewall,0,0.0,0.0
u56,SCASH,SPY,0,0.0,0.0
u56,S4,v1,4,0.2123206348967732,0.2140443363238436
u56,S4,top20,4,0.11982166171076832,0.07523555671773825
u56,S4,ewall,4,0.1069025829369223,0.0640142800306406
u56,S4,SPY,4,-0.14154723487600818,-0.23495863352128002
u56,S5f,v1,5,0.5378457981175891,0.5534370473077088
u56,S5f,top20,5,0.5153868951150761,0.4744806684989912
u56,S5f,ewall,5,0.5006444648756416,0.46402475258052917
u56,S5f,SPY,5,0.2500539570928729,0.14725344064639112
u56,S6f,v1,6,0.6829873558741314,0.7221861346453026
u56,S6f,top20,6,0.7332000454293479,0.7118001310366467
u56,S6f,ewall,6,0.7047749858815162,0.6961692911443358
u56,S6f,SPY,6,0.48162312918190725,0.40562804014627674
u56,S7f,v1,7,0.721508354810542,0.7705458350668289
u56,S7f,top20,7,0.7929576101327607,0.800228731616696
u56,S7f,ewall,7,0.7694155308623395,0.7822661763504302
u56,S7f,SPY,7,0.5676457045792164,0.5215712398542184
u56,S8f,v1,8,0.7340168403717157,0.7855179321396782
u56,S8f,top20,8,0.8164161670945329,0.8269016010802734
u56,S8f,ewall,8,0.7972738044774262,0.8095285662618916
u56,S8f,SPY,8,0.6155201732386972,0.5727359435412402
u56,S5r,v1,5,0.3919152441862498,0.4025316886126885
u56,S5r,top20,5,0.35378687542963094,0.3190275831074231
u56,S5r,ewall,5,0.33591216226705484,0.30674737004513275
u56,S5r,SPY,5,0.09344739637577147,0.017236258169744407
u56,S6r,v1,6,0.5222524602374596,0.549449324134086
u56,S6r,top20,6,0.5212016414718732,0.4995307959024287
u56,S6r,ewall,6,0.5066400331650905,0.4855028038410015
u56,S6r,SPY,6,0.28398796021640715,0.21361804517452415
u56,S7r,v1,7,0.6120013040329029,0.6651015761481963
u56,S7r,top20,7,0.643257849784088,0.6640635617571655
u56,S7r,ewall,7,0.6307992784751641,0.6463140734905982
u56,S7r,SPY,7,0.4239734118026805,0.3903818679792901
u56,S8r,v1,8,0.6917940451038077,0.7451524050321056
u56,S8r,top20,8,0.7670862911359805,0.7836972706904607
u56,S8r,ewall,8,0.744507603519203,0.7638966983394353
u56,S8r,SPY,8,0.555977129568893,0.528049766337397
u56,S9,v1,9,0.7264725381171875,0.776642305110066
