level,conv,etf_share,seed,pass4a,fail4b,Sharpe,CAGR,MaxDD
pooled,GATED,0.0,,False,DD,1.0744958484084013,0.13125003797662438,-0.2200626495242931
pooled,GATED,0.125,,False,-,1.0434936213525035,0.11744987191692435,-0.1852245195113541
pooled,GATED,0.25,,False,-,1.0465796053865997,0.11221628146559381,-0.18208907363997673
pooled,GATED,0.375,,False,"DD,CAGR",0.98642466546762,0.10157179987074372,-0.2076190113978983
pooled,GATED,0.5,,False,CAGR,0.9366385249884082,0.09178466414810682,-0.18172581441986413
pooled,GATED,0.625,,False,"H2,CAGR",0.8812594554472459,0.08282120374957636,-0.18277889287616678
pooled,GATED,0.75,,False,"H1,H2,OOS,CAGR",0.8571442419110358,0.07632301149165555,-0.1636065941328798
pooled,GATED,0.875,,False,"H1,H2,OOS,CAGR",0.736782787327305,0.06339010142450374,-0.1951152130965793
pooled,GATED,1.0,,False,"H1,H2,OOS,DD,CAGR",0.6286991144056556,0.051074398875337934,-0.21789114887889938
pooled,UNGATED,0.0,,False,DD,1.1658205327349764,0.16511184248411714,-0.2711183173737156
pooled,UNGATED,0.125,,False,DD,1.179236029500055,0.15665390675816981,-0.2521701286249074
pooled,UNGATED,0.25,,False,DD,1.1463955757229138,0.14978821044930357,-0.25900675481848345
pooled,UNGATED,0.375,,False,DD,1.0657286003085562,0.13321910831766415,-0.25623652470429303
pooled,UNGATED,0.5,,False,DD,1.0526936281597796,0.12645883613556363,-0.24961150204464755
pooled,UNGATED,0.625,,False,DD,0.9978912050129839,0.11344087935878466,-0.2381904675074047
pooled,UNGATED,0.75,,False,"DD,CAGR",0.9454873518397857,0.10207694484412655,-0.23471294314179503
pooled,UNGATED,0.875,,False,"H1,DD,CAGR",0.8767771468625334,0.09017792675993808,-0.2269836304686128
pooled,UNGATED,1.0,,False,"H1,H2,OOS,DD,CAGR",0.8233005794587804,0.08022881029333173,-0.22280790411578288
panel,GATED,1.0,-1.0,False,"H1,H2,OOS,DD,CAGR",0.6286991144056556,0.051074398875337934,-0.21789114887889938
panel,UNGATED,1.0,-1.0,False,"H1,H2,OOS,DD,CAGR",0.8233005794587804,0.08022881029333173,-0.22280790411578288
