panel,kind,seed,nfloor,n_arms,pick_SHARPE,pick_CAGR,disagree,S_OOS_Sharpe,S_OOS_CAGR,C_OOS_Sharpe,C_OOS_CAGR,DN_OOS_Sharpe,DN_OOS_CAGR,dOOS_Sharpe,dOOS_CAGR_pp,freelunch,freelunch_reverse,S_pass4a,S_pass4b,S_fail4b,C_pass4a,C_pass4b,C_fail4b
B136,parent,-1,5,7,FWD10,FWD5,True,0.7805933395341813,0.12766905137397444,0.824307364478665,0.16392587618324272,1.0185476662771331,0.10583657394304091,0.04371402494448373,3.6256824809268284,True,False,False,False,H2;OOS;DD,False,False,H2;OOS;DD
B136,parent,-1,10,6,FWD10,FWD10,False,0.7805933395341813,0.12766905137397444,0.7805933395341813,0.12766905137397444,1.0185476662771331,0.10583657394304091,0.0,0.0,False,False,False,False,H2;OOS;DD,False,False,H2;OOS;DD
B136,parent,-1,20,5,EWall,FWD20,True,1.0185476662771331,0.10583657394304091,0.8836022780725373,0.12454335283909379,1.0185476662771331,0.10583657394304091,-0.13494538820459578,1.8706778896052878,False,False,False,True,,False,False,H2
BSTK100,parent,-1,5,7,FWD10,FWD5,True,0.7488975844407563,0.12338297887674621,0.7794566584876195,0.15348668380469577,1.0095999331099446,0.12155660613742136,0.0305590740468632,3.010370492794956,True,False,False,False,H2;OOS;DD,False,False,H2;OOS;DD
BSTK100,parent,-1,10,6,FWD10,FWD10,False,0.7488975844407563,0.12338297887674621,0.7488975844407563,0.12338297887674621,1.0095999331099446,0.12155660613742136,0.0,0.0,False,False,False,False,H2;OOS;DD,False,False,H2;OOS;DD
BSTK100,parent,-1,20,5,EWall,FWD20,True,1.0095999331099446,0.12155660613742136,0.8910729150865585,0.13046460605228716,1.0095999331099446,0.12155660613742136,-0.11852701802338605,0.8907999914865794,False,False,False,False,DD,False,False,H2;DD
S5_M120,parent,-1,5,7,EWall,FWD5,True,0.1351589996950765,0.008657851934956273,0.252672260927819,0.03193131841242325,0.1351589996950765,0.008657851934956273,0.11751326123274253,2.3273466477466975,True,False,False,False,H1;H2;OOS;DD;CAGR,False,False,H1;H2;OOS;DD;CAGR
S5_M120,parent,-1,10,6,EWall,EWall,False,0.1351589996950765,0.008657851934956273,0.1351589996950765,0.008657851934956273,0.1351589996950765,0.008657851934956273,0.0,0.0,False,False,False,False,H1;H2;OOS;DD;CAGR,False,False,H1;H2;OOS;DD;CAGR
S5_M120,parent,-1,20,5,EWall,EWall,False,0.1351589996950765,0.008657851934956273,0.1351589996950765,0.008657851934956273,0.1351589996950765,0.008657851934956273,0.0,0.0,False,False,False,False,H1;H2;OOS;DD;CAGR,False,False,H1;H2;OOS;DD;CAGR
B136,resample,2000,5,7,EWall,FWD5,True,0.9629756936364064,0.10020020706600219,0.6803249967314806,0.12012479072420756,0.9629756936364064,0.10020020706600219,-0.28265069690492584,1.9924583658205375,False,False,False,False,CAGR,False,False,H1;H2;OOS;DD
B136,resample,2000,10,6,EWall,FWD10,True,0.9629756936364064,0.10020020706600219,0.7324240689953351,0.1101959115846276,0.9629756936364064,0.10020020706600219,-0.23055162464107137,0.9995704518625415,False,False,False,False,CAGR,False,False,H1;H2;OOS;DD
B136,resample,2000,20,5,EWall,FWD20,True,0.9629756936364064,0.10020020706600219,0.8399427216561279,0.1108085724577259,0.9629756936364064,0.10020020706600219,-0.12303297198027852,1.0608365391723718,False,False,False,False,CAGR,False,False,H2;OOS;DD
B136,resample,2001,5,7,FWD20,FWD5,True,0.898896489136956,0.11677097986293505,0.8546192614309661,0.15966939952280845,1.0013713578883379,0.10192031643245802,-0.04427722770598985,4.28984196598734,False,False,False,False,H2,False,False,H2;OOS;DD
B136,resample,2001,10,6,FWD20,FWD10,True,0.898896489136956,0.11677097986293505,0.7733372776944522,0.11624639339773246,1.0013713578883379,0.10192031643245802,-0.12555921144250382,-0.05245864652025922,False,True,False,False,H2,False,False,H2;OOS;DD
B136,resample,2001,20,5,FWD20,FWD20,False,0.898896489136956,0.11677097986293505,0.898896489136956,0.11677097986293505,1.0013713578883379,0.10192031643245802,0.0,0.0,False,False,False,False,H2,False,False,H2
B136,resample,2002,5,7,FWD20,FWD5,True,0.8886486086380496,0.12062279618867211,0.7873230780276198,0.15117179111846002,0.9666159184398266,0.10390595014671211,-0.10132553061042981,3.054899492978791,False,False,False,False,H2;DD,False,False,H2;OOS;DD
B136,resample,2002,10,6,FWD20,FWD10,True,0.8886486086380496,0.12062279618867211,0.8728134700755863,0.14036808615614338,0.9666159184398266,0.10390595014671211,-0.015835138562463325,1.974528996747127,False,False,False,False,H2;DD,False,False,H2;OOS;DD
