panel,book,gross,cadence,cost_bps,stat,n_phases,canon,fam_min,fam_med,fam_max,spread,argmax_phase,canon_pctile,canon_is_max
U56,TOP05,CORE,M,0.0,CAGR,21,0.19508238695933788,0.17995908302125319,0.20339019908133893,0.22522051252141573,0.04526142950016254,6,0.23809523809523808,False
U56,TOP05,CORE,M,0.0,Sharpe,21,1.0489352809160268,0.977692618897301,1.0970609593551732,1.1958459706278384,0.2181533517305374,6,0.14285714285714285,False
U56,TOP05,CORE,M,5.0,CAGR,21,0.19049080874834323,0.1755101459839954,0.19890501000495364,0.22040538589714753,0.04489523991315214,6,0.23809523809523808,False
U56,TOP05,CORE,M,5.0,Sharpe,21,1.028411243618414,0.9574395174871566,1.0766425100041086,1.174376501299401,0.21693698381224436,6,0.14285714285714285,False
U56,TOP05,CORE,M,10.0,CAGR,21,0.1859150939371772,0.17107628224177884,0.19443485566456586,0.21560730966941954,0.0445310274276407,6,0.23809523809523808,False
U56,TOP05,CORE,M,10.0,Sharpe,21,1.0078394354333895,0.9371528803235835,1.0561888239586257,1.1528595678165752,0.2157066874929917,6,0.14285714285714285,False
U56,TOP05,CORE,M,25.0,CAGR,21,0.17228264206475563,0.15786467649214164,0.18111415248603957,0.2013148446014441,0.04345016810930247,6,0.23809523809523808,False
U56,TOP05,CORE,M,25.0,Sharpe,21,0.9458628000830531,0.876116224540053,0.9946411997643394,1.0880525140607133,0.21193628952066035,6,0.14285714285714285,False
U56,TOP05,CORE,M,50.0,CAGR,21,0.14987462360553883,0.13614257748392977,0.15920950623322905,0.17783007151865204,0.04168749403472227,6,0.23809523809523808,False
U56,TOP05,CORE,M,50.0,Sharpe,21,0.8418525341270207,0.7739471188994614,0.8915899568880651,0.9793596028146915,0.20541248391523004,6,0.14285714285714285,False
U56,TOP05,EXT,M,0.0,CAGR,21,0.2607795454215982,0.23915297213720121,0.27130765823542613,0.30208308135760675,0.06293010922040554,6,0.23809523809523808,False
U56,TOP05,EXT,M,0.0,Sharpe,21,1.0548526899011528,0.9800648260881399,1.0998162382420829,1.195917753926914,0.21585292783877397,6,0.14285714285714285,False
U56,TOP05,EXT,M,5.0,CAGR,21,0.2543449445819763,0.23293994026195008,0.26500479938746,0.2952786693789373,0.062338729116987235,6,0.23809523809523808,False
U56,TOP05,EXT,M,5.0,Sharpe,21,1.034420193963398,0.959969455201983,1.0793329551454331,1.1745558865795616,0.2145864313775786,6,0.14285714285714285,False
U56,TOP05,EXT,M,10.0,CAGR,21,0.24793986906529164,0.2267548925714511,0.25873003880240475,0.28850629210845913,0.061751399537008034,6,0.23809523809523808,False
U56,TOP05,EXT,M,10.0,Sharpe,21,1.0139401326845512,0.9398408845145497,1.0588096335155925,1.1531469167539903,0.21330603223944056,6,0.14285714285714285,False
U56,TOP05,EXT,M,25.0,CAGR,21,0.2289005892866296,0.2083665341791079,0.240073232390841,0.2683800234923339,0.06001348931322603,6,0.23809523809523808,False
U56,TOP05,EXT,M,25.0,Sharpe,21,0.9522396952805363,0.8792799592978042,0.9970246112395749,1.0886655576803197,0.20938559838251547,6,0.14285714285714285,False
U56,TOP05,EXT,M,50.0,CAGR,21,0.19774777951491918,0.17826855573685485,0.209530179106435,0.23546445761195112,0.05719590187509627,6,0.23809523809523808,False
U56,TOP05,EXT,M,50.0,Sharpe,21,0.8486912639395173,0.7779059172390382,0.8934851442390803,0.9805192610145483,0.2026133437755101,6,0.14285714285714285,False
U56,TOP10,CORE,M,0.0,CAGR,21,0.17404901666415795,0.14949414898942814,0.16264004567446255,0.17580666568373626,0.02631251669430812,6,0.9523809523809523,False
U56,TOP10,CORE,M,0.0,Sharpe,21,1.1651559531020823,1.0091353512786738,1.0868863918490481,1.1651559531020823,0.1560206018234085,0,1.0,True
U56,TOP10,CORE,M,5.0,CAGR,21,0.17047827164412022,0.14599610338834612,0.15922286335882574,0.17229843586495375,0.026302332476607626,6,0.9523809523809523,False
U56,TOP10,CORE,M,5.0,Sharpe,21,1.1445627334283217,0.9886305784113505,1.066251116774252,1.1445627334283217,0.15593215501697122,0,1.0,True
U56,TOP10,CORE,M,10.0,CAGR,21,0.1669173408949931,0.14250769966183974,0.1558147752588379,0.1687996731613821,0.026291973499542376,6,0.9523809523809523,False
U56,TOP10,CORE,M,10.0,Sharpe,21,1.123919323608582,0.9680921511160673,1.0455731965945232,1.123919323608582,0.15582717249251476,0,1.0,True
U56,TOP10,CORE,M,25.0,CAGR,21,0.15629319273908648,0.1321001012459888,0.14526237828020205,0.15835995879742204,0.02625985755143323,6,0.9523809523809523,False
U56,TOP10,CORE,M,25.0,Sharpe,21,1.0617124182547346,0.9062984901918717,0.9835566432634734,1.0617124182547346,0.15541392806286292,0,1.0,True
U56,TOP10,CORE,M,50.0,CAGR,21,0.13878031815245695,0.11494472339108452,0.12771343054293371,0.14114764771623856,0.02620292432515403,6,0.9047619047619048,False
U56,TOP10,CORE,M,50.0,Sharpe,21,0.9572611529862015,0.8028567437232856,0.8817981907122645,0.9579309117051592,0.15507416798187357,6,0.9523809523809523,False
U56,TOP10,EXT,M,0.0,CAGR,21,0.233907278489063,0.19914459305120635,0.21736678740520698,0.23551185093646088,0.03636725788525452,6,0.9523809523809523,False
U56,TOP10,EXT,M,0.0,Sharpe,21,1.1690174327499034,1.0082465623027232,1.0841848657397708,1.1690174327499034,0.1607708704471802,0,1.0,True
U56,TOP10,EXT,M,5.0,CAGR,21,0.2289192158818223,0.19428660153673905,0.2123827967532863,0.23060823776158146,0.03632163622484241,6,0.9523809523809523,False
U56,TOP10,EXT,M,5.0,Sharpe,21,1.1485021331324738,0.9878929971433632,1.0644422913215377,1.1485021331324738,0.16060913598911064,0,1.0,True
U56,TOP10,EXT,M,10.0,CAGR,21,0.22394937301320517,0.18944643359608304,0.20741721986658912,0.22572222357934635,0.03627578998326331,6,0.9523809523809523,False
U56,TOP10,EXT,M,10.0,Sharpe,21,1.1279368964557628,0.9675061669782042,1.0448327649606846,1.1279368964557628,0.16043072947755854,0,1.0,True
U56,TOP10,EXT,M,25.0,CAGR,21,0.20914856721757835,0.17503228469628618,0.19263036360231856,0.2111692092193873,0.03613692452310113,6,0.9523809523809523,False
U56,TOP10,EXT,M,25.0,Sharpe,21,1.0659657957024462,0.9061691739739871,0.9851069017683958,1.0659657957024462,0.1597966217284591,0,1.0,True
U56,TOP10,EXT,M,50.0,CAGR,21,0.18483941908304757,0.15135972619404936,0.1683482286519462,0.1872609088293251,0.03590118263527575,6,0.9523809523809523,False
U56,TOP10,EXT,M,50.0,Sharpe,21,0.9619103923380887,0.8034920188769921,0.8833096459855028,0.9619103923380887,0.15841837346109666,0,1.0,True
U56,TOP20,CORE,M,0.0,CAGR,21,0.15184791074241044,0.13227594318984726,0.1414054926973214,0.15184791074241044,0.019571967552563185,0,1.0,True
U56,TOP20,CORE,M,0.0,Sharpe,21,1.2381657720489143,1.0584496908768557,1.1523098084917982,1.2381657720489143,0.17971608117205862,0,1.0,True
U56,TOP20,CORE,M,5.0,CAGR,21,0.1493631965618083,0.12981496281909632,0.13888658479682015,0.1493631965618083,0.019548233742711973,0,1.0,True
U56,TOP20,CORE,M,5.0,Sharpe,21,1.220341945830079,1.040957248991768,1.13430592405618,1.220341945830079,0.17938469683831104,0,1.0,True
U56,TOP20,CORE,M,10.0,CAGR,21,0.1468833373149223,0.12735882073354898,0.136372706937941,0.1468833373149223,0.01952451658137333,0,1.0,True
U56,TOP20,CORE,M,10.0,Sharpe,21,1.2024771431708956,1.0234380694959397,1.116268497327649,1.2024771431708956,0.17903907367495586,0,1.0,True
U56,TOP20,CORE,M,25.0,CAGR,21,0.1394728040244444,0.12001933891725991,0.1290294733232955,0.1394728040244444,0.019453465107184487,0,1.0,True
U56,TOP20,CORE,M,25.0,Sharpe,21,1.1486523675485214,0.9707349119859506,1.0619709372537536,1.1486523675485214,0.17791745556257077,0,1.0,True
U56,TOP20,CORE,M,50.0,CAGR,21,0.12721822111928605,0.1078828410670225,0.11711183364970279,0.12721822111928605,0.01933538005226354,0,1.0,True
U56,TOP20,CORE,M,50.0,Sharpe,21,1.058271022325588,0.8825004347790409,0.9709543094346849,1.058271022325588,0.17577058754654706,0,1.0,True
U56,TOP20,EXT,M,0.0,CAGR,21,0.2043792492437042,0.17631176667752202,0.18934936653766266,0.2043792492437042,0.02806748256618219,0,1.0,True
U56,TOP20,EXT,M,0.0,Sharpe,21,1.2406914118256722,1.0526704392758062,1.1502062655884626,1.2406914118256722,0.18802097254986605,0,1.0,True
U56,TOP20,EXT,M,5.0,CAGR,21,0.20092600762689417,0.17290523070844954,0.185858082419039,0.20092600762689417,0.028020776918444623,0,1.0,True
U56,TOP20,EXT,M,5.0,Sharpe,21,1.2229371236634685,1.0353279480417044,1.1322850635211812,1.2229371236634685,0.18760917562176416,0,1.0,True
U56,TOP20,EXT,M,10.0,CAGR,21,0.19748173349830345,0.16950761527222546,0.1823760697170571,0.19748173349830345,0.027974118226077982,0,1.0,True
U56,TOP20,EXT,M,10.0,Sharpe,21,1.205142134220842,1.0179591781930353,1.1143305301459006,1.205142134220842,0.18718295602780666,0,1.0,True
U56,TOP20,EXT,M,25.0,CAGR,21,0.1872025070782175,0.15936808285445925,0.17198793471164642,0.1872025070782175,0.02783442422375826,0,1.0,True
U56,TOP20,EXT,M,25.0,Sharpe,21,1.151528293884617,0.9657096826085819,1.0602827561458203,1.151528293884617,0.18581861127603505,0,1.0,True
U56,TOP20,EXT,M,50.0,CAGR,21,0.17024786897163224,0.14264532582687783,0.15552951957945105,0.17024786897163224,0.02760254314475441,0,1.0,True
U56,TOP20,EXT,M,50.0,Sharpe,21,1.0615025380800942,0.8782374747904277,0.9696851556034032,1.0615025380800942,0.18326506328966652,0,1.0,True
U56,EWELIG,CORE,M,0.0,CAGR,21,0.12193028577874054,0.11055764883943331,0.11726786235653552,0.12193028577874054,0.011372636939307235,0,1.0,True
U56,EWELIG,CORE,M,0.0,Sharpe,21,1.1739297505000772,1.0685266613883846,1.1258993534707158,1.1963541275679879,0.12782746617960328,14,0.8571428571428571,False
U56,EWELIG,CORE,M,5.0,CAGR,21,0.11989282742295804,0.10857482860712842,0.11525166014707033,0.11989282742295804,0.011317998815829622,0,1.0,True
U56,EWELIG,CORE,M,5.0,Sharpe,21,1.156310514549387,1.0510846844880855,1.108475409345673,1.178915958392891,0.12783127390480553,14,0.8571428571428571,False
U56,EWELIG,CORE,M,10.0,CAGR,21,0.1178585681939992,0.10659507484564346,0.11323861572866023,0.11789432821043766,0.011299253364794204,14,0.9523809523809523,False
U56,EWELIG,CORE,M,10.0,Sharpe,21,1.1386400856472252,1.0336065234986251,1.0910059476240421,1.1614313167767187,0.1278247932780936,14,0.8571428571428571,False
U56,EWELIG,CORE,M,25.0,CAGR,21,0.11177494208669869,0.10067417141087631,0.10721838647527848,0.11203878510551646,0.011364613694640147,14,0.9523809523809523,False
U56,EWELIG,CORE,M,25.0,Sharpe,21,1.0853434974113416,0.9809757697495841,1.0383450468787205,1.1087196027109272,0.12774383296134306,14,0.9047619047619048,False
U56,EWELIG,CORE,M,50.0,CAGR,21,0.10169914549713033,0.09086694670476558,0.09724742867015324,0.10233849475506118,0.011471548050295599,14,0.9523809523809523,False
U56,EWELIG,CORE,M,50.0,Sharpe,21,0.9956984961712871,0.8927297781457049,0.9498607420978435,1.0201356974337514,0.12740591928804657,14,0.9047619047619048,False
U56,EWELIG,EXT,M,0.0,CAGR,21,0.16363656852388675,0.14740652301064316,0.15684540582999063,0.16363656852388675,0.016230045513243585,0,1.0,True
U56,EWELIG,EXT,M,0.0,Sharpe,21,1.1750792619105712,1.0631159546454585,1.121633401475389,1.1968975745275703,0.1337816198821118,14,0.9047619047619048,False
U56,EWELIG,EXT,M,5.0,CAGR,21,0.1608457959323868,0.14469298921244178,0.1540680120754212,0.1608457959323868,0.016152806719945012,0,1.0,True
U56,EWELIG,EXT,M,5.0,Sharpe,21,1.157659359092413,1.045899855897165,1.1044272510243116,1.1796269967719075,0.13372714087474247,14,0.9047619047619048,False
U56,EWELIG,EXT,M,10.0,CAGR,21,0.15806080609084727,0.14198500864328167,0.15129639037193177,0.15806080609084727,0.0160757974475656,0,1.0,True
U56,EWELIG,EXT,M,10.0,Sharpe,21,1.1401891408766993,1.0286483543867972,1.0871765651517398,1.1623106216705066,0.13366226728370934,14,0.9047619047619048,False
U56,EWELIG,EXT,M,25.0,CAGR,21,0.14974043014451244,0.13389428817404414,0.1430160542625174,0.15002779661452248,0.01613350844047834,14,0.9523809523809523,False
U56,EWELIG,EXT,M,25.0,Sharpe,21,1.087497821648442,0.9767016086822113,1.035177262653574,1.1101072801673741,0.1334056714851628,14,0.9523809523809523,False
U56,EWELIG,EXT,M,50.0,CAGR,21,0.13598783364057376,0.12051990493264175,0.12935339751014507,0.1367690001564712,0.016249095223829446,14,0.9523809523809523,False
U56,EWELIG,EXT,M,50.0,Sharpe,21,0.9988732060441843,0.8896050748932066,0.9478093805741378,1.0223796520627766,0.13277457716956997,14,0.9523809523809523,False
U56,BAND03,CORE,M,0.0,CAGR,21,0.09011242589139257,0.08502457922748818,0.08868837341391345,0.0913949134217773,0.006370334194289118,12,0.9047619047619048,False
U56,BAND03,CORE,M,0.0,Sharpe,21,1.1884136699399324,1.1284471885558098,1.1607063651889242,1.2089558711161914,0.08050868256038157,12,0.9047619047619048,False
U56,BAND03,CORE,M,5.0,CAGR,21,0.08943997720843977,0.08433648758632684,0.08801863791296949,0.09072624997661194,0.006389762390285103,12,0.9047619047619048,False
U56,BAND03,CORE,M,5.0,Sharpe,21,1.180227037902548,1.1205873709118768,1.152500494227852,1.2007174565690502,0.08013008565717339,12,0.9047619047619048,False
U56,BAND03,CORE,M,10.0,CAGR,21,0.08876789714937283,0.08364878299344292,0.08735080406621565,0.090057950170642,0.006409167177199082,12,0.8571428571428571,False
U56,BAND03,CORE,M,10.0,Sharpe,21,1.1720312022068704,1.1127208243222158,1.1442872719227997,1.1924707445335134,0.07974992021129768,12,0.9047619047619048,False
U56,BAND03,CORE,M,25.0,CAGR,21,0.08675386693210418,0.08158798958546853,0.08534948098773154,0.08805523083882405,0.006467241253355516,12,0.8571428571428571,False
U56,BAND03,CORE,M,25.0,Sharpe,21,1.1473902489758243,1.08854026276926,1.119605284681593,1.1676826468603199,0.07914238409105989,12,0.9047619047619048,False
U56,BAND03,CORE,M,50.0,CAGR,21,0.08340450574745373,0.07816105697297004,0.08202119361617743,0.08472462175606643,0.006563564783096387,12,0.8571428571428571,False
U56,BAND03,CORE,M,50.0,Sharpe,21,1.1061545834881452,1.0457070749774258,1.0783383526475139,1.1262202882912953,0.08051321331386951,12,0.9047619047619048,False
U56,BAND03,EXT,M,0.0,CAGR,21,0.12084327065906386,0.11383017346495805,0.11874433289651076,0.12244646562290185,0.008616292157943795,12,0.9047619047619048,False
U56,BAND03,EXT,M,0.0,Sharpe,21,1.1897855440426461,1.1197522339678696,1.1595710129619514,1.2062372113011626,0.08648497733329297,12,0.9047619047619048,False
U56,BAND03,EXT,M,5.0,CAGR,21,0.1199242072130311,0.11288991635237977,0.11782755866049954,0.12153121374476505,0.008641297392385283,12,0.9047619047619048,False
U56,BAND03,EXT,M,5.0,Sharpe,21,1.1816325299261434,1.1119526265852449,1.1516069660378183,1.1980429811353053,0.08609035455006042,12,0.9047619047619048,False
U56,BAND03,EXT,M,10.0,CAGR,21,0.11900581307847524,0.11195036274470405,0.11691145152976912,0.1206166235100874,0.008666260765383349,12,0.9047619047619048,False
U56,BAND03,EXT,M,10.0,Sharpe,21,1.173470353950402,1.104146319434346,1.1436343169469039,1.1898405045493468,0.08569418511500082,12,0.9047619047619048,False
U56,BAND03,EXT,M,25.0,CAGR,21,0.11625464224404292,0.10913591831412117,0.11416712848474209,0.11787681843822795,0.008740900124106776,12,0.9047619047619048,False
U56,BAND03,EXT,M,25.0,Sharpe,21,1.148930617460517,1.0806888008763424,1.1196664453136402,1.165185407177511,0.08449660630116851,12,0.9047619047619048,False
U56,BAND03,EXT,M,50.0,CAGR,21,0.11168270365595045,0.10445920445612811,0.10959647046878818,0.11332367008968736,0.008864465633559249,12,0.9047619047619048,False
U56,BAND03,EXT,M,50.0,Sharpe,21,1.1078643583230963,1.0414739358599778,1.0794023612012522,1.1239456201431868,0.08247168428320895,12,0.9047619047619048,False
U56,TOP05,CORE,Q,0.0,CAGR,63,0.15992734663356423,0.15992734663356423,0.20724898014369764,0.24536627738269834,0.08543893074913411,49,0.015873015873015872,False
U56,TOP05,CORE,Q,0.0,Sharpe,63,0.8711411574413279,0.8711411574413279,1.0796814920089466,1.2099251724033344,0.3387840149620065,26,0.015873015873015872,False
U56,TOP05,CORE,Q,5.0,CAGR,63,0.15764213005470795,0.15764213005470795,0.20495622594543206,0.24303146667594833,0.08538933662124037,49,0.015873015873015872,False
U56,TOP05,CORE,Q,5.0,Sharpe,63,0.8608622005781877,0.8608622005781877,1.0701881239468436,1.200215606494221,0.33935340591603336,26,0.015873015873015872,False
U56,TOP05,CORE,Q,10.0,CAGR,63,0.15536016404999842,0.15536016404999842,0.20266663710416521,0.24069982718231242,0.085339663132314,49,0.015873015873015872,False
U56,TOP05,CORE,Q,10.0,Sharpe,63,0.850557475658515,0.850557475658515,1.060669100736072,1.1904733525654942,0.3399158769069792,26,0.015873015873015872,False
U56,TOP05,CORE,Q,25.0,CAGR,63,0.14853373999576713,0.14853373999576713,0.19581683469097255,0.23372390831448286,0.08519016831871573,49,0.015873015873015872,False
U56,TOP05,CORE,Q,25.0,Sharpe,63,0.8194977269756182,0.8194977269756182,1.0319653087150336,1.1610580459147575,0.3415603189391393,26,0.015873015873015872,False
U56,TOP05,CORE,Q,50.0,CAGR,63,0.13722110304993196,0.13722110304993196,0.18446354302429246,0.22216054309076405,0.08493944004083209,49,0.015873015873015872,False
U56,TOP05,CORE,Q,50.0,Sharpe,63,0.7673013243360857,0.7673013243360857,0.9814653496834245,1.1114506345134236,0.34414931017733796,26,0.015873015873015872,False
U56,TOP05,EXT,Q,0.0,CAGR,63,0.21102655452473185,0.21102655452473185,0.2775480222505369,0.33142690038194544,0.1204003458572136,49,0.015873015873015872,False
U56,TOP05,EXT,Q,0.0,Sharpe,63,0.8775902823682902,0.8775902823682902,1.0893832089436584,1.220502207709195,0.34291192534090476,26,0.015873015873015872,False
U56,TOP05,EXT,Q,5.0,CAGR,63,0.2078717573406339,0.2078717573406339,0.27434914150763867,0.3281390748178148,0.12026731747718089,49,0.015873015873015872,False
U56,TOP05,EXT,Q,5.0,Sharpe,63,0.8674011609343655,0.8674011609343655,1.0794782968892946,1.2108488501309747,0.3434476891966092,26,0.015873015873015872,False
U56,TOP05,EXT,Q,10.0,CAGR,63,0.20472288189643706,0.20472288189643706,0.2711560755445461,0.32485712566616654,0.12013424376972948,49,0.015873015873015872,False
U56,TOP05,EXT,Q,10.0,Sharpe,63,0.8571863933361309,0.8571863933361309,1.0695446233734867,1.2011627237971287,0.34397633046099785,26,0.015873015873015872,False
U56,TOP05,EXT,Q,25.0,CAGR,63,0.1953117152846211,0.1953117152846211,0.2616116986430779,0.3150464693080077,0.11973475402338662,49,0.015873015873015872,False
U56,TOP05,EXT,Q,25.0,Sharpe,63,0.8263970618337685,0.8263970618337685,1.0395789435842788,1.1719152316939345,0.34551816986016604,26,0.015873015873015872,False
U56,TOP05,EXT,Q,50.0,CAGR,63,0.17974421294795095,0.17974421294795095,0.24582006817428614,0.2988122753165465,0.11906806236859557,49,0.015873015873015872,False
U56,TOP05,EXT,Q,50.0,Sharpe,63,0.7746520425017632,0.7746520425017632,0.9891356476951391,1.122585111490494,0.34793306898873066,26,0.015873015873015872,False
U56,TOP10,CORE,Q,0.0,CAGR,63,0.15465686041750137,0.14936741333059178,0.16823719780835167,0.19182220296322194,0.04245478963263016,45,0.06349206349206349,False
U56,TOP10,CORE,Q,0.0,Sharpe,63,0.9935538043965693,0.9786999285606732,1.0784864469216127,1.1647107143659672,0.18601078580529395,45,0.06349206349206349,False
U56,TOP10,CORE,Q,5.0,CAGR,63,0.1527764612059721,0.14746159201917286,0.16626531685062984,0.18994017110759165,0.04247857908841879,45,0.06349206349206349,False
U56,TOP10,CORE,Q,5.0,Sharpe,63,0.9832512591229304,0.967923150633985,1.0677982989924977,1.154883393710816,0.186960243076831,45,0.06349206349206349,False
U56,TOP10,CORE,Q,10.0,CAGR,63,0.15089827366772735,0.14555809116031715,0.16429586961771836,0.18806029451820128,0.04250220335788413,45,0.06349206349206349,False
U56,TOP10,CORE,Q,10.0,Sharpe,63,0.9729182757396025,0.9571183202287603,1.0570784287140955,1.1450278792347512,0.18790955900599093,45,0.06349206349206349,False
U56,TOP10,CORE,Q,25.0,CAGR,63,0.1452769645577645,0.13986149281243754,0.1584515500643926,0.18243358048276925,0.042572087670331715,45,0.06349206349206349,False
U56,TOP10,CORE,Q,25.0,Sharpe,63,0.9417458050683173,0.9245454577415863,1.0247383721286532,1.1152999810606536,0.1907545233190674,45,0.06349206349206349,False
U56,TOP10,CORE,Q,50.0,CAGR,63,0.1359521952661369,0.13041339885019143,0.14886414686605587,0.17309868109537874,0.042685282245187306,45,0.06349206349206349,False
U56,TOP10,CORE,Q,50.0,Sharpe,63,0.889269045261128,0.8697900269472532,0.9702972146435217,1.0652632882790962,0.19547326133184306,45,0.06349206349206349,False
