file,col,n_rows,n_unique,subtape,values
2026-09-05_price-denominator-sign-test_C.survival.csv,frac,4,4,False,0.6521739130434783 | 0.7101449275362319 | 0.8260869565217391 | 0.9637681159420288
2026-09-05_shallow-window-prices-are-not-prices_C.deciles.csv,frac,10,10,False,0.5110294117647058 | 0.5416666666666666 | 0.5720238095238095 | 0.5950520833333334 | 0.6276881720430108 | 0.6291666666666667 | 0.6685606060606061 | 0.6803385416666666
2026-09-05_shallow-window-prices-are-not-prices_C.lengthmatched.csv,frac,20,20,False,0.5113636363636365 | 0.5632102272727273 | 0.5696022727272727 | 0.572704081632653 | 0.5729166666666666 | 0.5878623188405798 | 0.5911458333333334 | 0.5963114754098361
2026-09-05_shallow-window-prices-are-not-prices_C.rule8windows.csv,frac,4,4,False,0.5833333333333334 | 0.625 | 0.7291666666666666 | 0.75
2026-09-05_shallow-window-prices-are-not-prices_C.windows.csv,frac,1640,32,False,0.1666666666666666 | 0.2083333333333333 | 0.2291666666666666 | 0.25 | 0.2708333333333333 | 0.2916666666666667 | 0.3125 | 0.3333333333333333
2026-09-06_arm-the-cheap-instruments-in-crashes-instead_cloud.regime.csv,frac,4,3,False,0.0810993466997071 | 0.0856048659608019 | 0.1705339040324397
2026-09-06_is-the-de-gross-timing-residual-a-per-panel-CONSTANT_cloud.paired.csv,frac,16,12,False,0.0 | 0.3611111111111111 | 0.4166666666666667 | 0.4537037037037037 | 0.4722222222222222 | 0.5277777777777778 | 0.5648148148148148 | 0.5833333333333334
2026-09-08_the-liquidity-FLOOR-is-in-the-eligibility-mask-not-a-tilt_C.maskdiff.csv,frac,9,8,False,0.0 | 0.0104691806143711 | 0.0105648929921004 | 0.0117382829053309 | 0.0264246531704907 | 0.0269083294610004 | 0.0300105795055688 | 0.1555014535018887
2026-09-10_restate-idea-121-s-ADV-clause-in-SHARES-before-PROTOCOL-adopts-it_B.maskdiff.csv,frac,5,4,False,0.0 | 0.011465027720058 | 0.0281642804328829 | 0.1554835836078774
2026-09-15_is-the-CAGR-FLOOR-as-CONVENTION-SENSITIVE-as-the-DD-CAP-once-CENTRED_B.walkforward.csv,frac,3,3,False,0.2307692307692307 | 0.4444444444444444 | 0.6938775510204082
2026-09-15_should-a-4b-PASS-be-NON-CERTIFYING-above-a-WITHIN-FAMILY-PHASE-PASS-SHARE_B.relabel.csv,frac,24,15,False,0.0442225392296719 | 0.05 | 0.0738563761819575 | 0.0828009200102223 | 0.0833333333333333 | 0.0898716119828816 | 0.15 | 0.1666666666666666
2026-09-16_does-ANY-committed-EXPONENT-or-SCALING-claim-state-its-own-RESOLUTION_C.ladder.csv,frac,198,6,False,0.125 | 0.25 | 0.375 | 0.5 | 0.75 | 1.0
2026-09-16_is-DD-s-RUNG-ROBUST-UN-RESOLVABILITY-a-PATH-FUNCTIONAL-fact-or-a-TAPE-fact_B.cells.csv,frac,5184,3,True,1 | 2 | 3
2026-09-16_is-DD-s-RUNG-ROBUST-UN-RESOLVABILITY-a-PATH-FUNCTIONAL-fact-or-a-TAPE-fact_B.grid.csv,frac,9,3,True,1/1 | 1/2 | 1/3
2026-09-16_is-DD-s-RUNG-ROBUST-UN-RESOLVABILITY-a-PATH-FUNCTIONAL-fact-or-a-TAPE-fact_B.levels.csv,frac,2664,3,True,1 | 2 | 3
2026-09-16_is-the-0.012-FLOOR-BIAS-a-TAPE-LENGTH-object-or-a-POOL-SIZE-object_cloud.surface.csv,frac,192,4,False,0.25 | 0.5 | 0.75 | 1.0
2026-09-16_is-the-4b-GROSS-WINDOW-s-WIDTH-a-PANEL-object-or-a-TAPE-object_cloud.grid.csv,frac,10692,5,True,1 | 2 | 3 | 4 | 6
2026-09-16_is-the-4b-GROSS-WINDOW-s-WIDTH-a-PANEL-object-or-a-TAPE-object_cloud.windows.csv,frac,324,5,True,1 | 2 | 3 | 4 | 6
2026-09-16_is-the-4b-SHARPE-LEG-DECIDABLE-AT-ALL-at-the-record-s-SAMPLE-LENGTH_B.ladder.csv,frac,198,6,False,0.125 | 0.25 | 0.375 | 0.5 | 0.75 | 1.0
2026-09-16_is-the-SMALL-MAXDD-CELL-the-ONE-PLACE-where-TAPE-LENGTH-BEATS-REGIME_B.cells.csv,fracs,432,3,True,1/1+1/2+1/3 | 1/1+1/2+1/3+1/4+1/5+1/6+1/8 | 1/1+1/2+1/3+1/4+1/6
2026-09-16_is-the-SMALL-MAXDD-CELL-the-ONE-PLACE-where-TAPE-LENGTH-BEATS-REGIME_B.cells.csv,frac_ladder,432,3,True,F_1140 | F_FINE | F_FINER
2026-09-16_is-the-SMALL-MAXDD-CELL-the-ONE-PLACE-where-TAPE-LENGTH-BEATS-REGIME_B.perrung.csv,frac_ladder,2916,3,True,F_1140 | F_FINE | F_FINER
