claimset,defn,n,passes,sole_L2_H2,infail_L2_H2
ALLROWS,FAMILY,896542,114655.0,0.013891150665557218,0.5432171610476698
REALROWS,FAMILY,651674,82669.0,0.016367079245144044,0.5797837569091294
ALLROWS,FAMILY,107945,15493.0,0.006299504377229145,0.3388577516327759
REALROWS,FAMILY,2954,604.0,0.028097494922139473,0.4346648612051456
FILEWT,FAMILY,441,,,0.5115072344147156
FRESH,FAMILY,10474,1646.0,0.009738399847240786,0.5137483291961047
FRESH,FAMILY,10474,1646.0,0.009738399847240786,0.5137483291961047
