panel,cost,selector,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,p4a,p4b,p4bo,n_admissible
u56,10.0,S0 do-nothing,CONTROL,0.14360571273280298,1.167991233806965,-0.18308348697878107,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,1,1,4
u56,10.0,S1 IS-argmax,PRICE/NEG/0.5,0.145467397633537,1.2159833321640283,-0.18149633520723096,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,1,1,4
u56,10.0,S2 clause-gated,PRICE/POS/0.2,0.13679051376105766,1.115865519677178,-0.1844176414395754,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,1,1,4
u56,25.0,S0 do-nothing,CONTROL,0.12730703643605445,1.0495601201126592,-0.18440712200737241,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,0,1,4
u56,25.0,S1 IS-argmax,PRICE/NEG/0.5,0.12985622247458783,1.098934881231541,-0.1830977858695656,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,1,1,4
u56,25.0,S2 clause-gated,PRICE/POS/0.2,0.12054550892730087,0.9975446464119536,-0.1857316211404637,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,0,1,4
broad,10.0,S0 do-nothing,CONTROL,0.12486792010130943,0.8919165372280256,-0.2005204833110832,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1,0,0,5
broad,10.0,S1 IS-argmax,PRICE/NEG/1.0,0.17771308947585984,1.3493096091683483,-0.2136440742842166,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,0,0,5
broad,10.0,S2 clause-gated,PRICE/NEG/0.2,0.14246580311471213,1.0024084908824906,-0.21988300801323357,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,0,0,5
broad,25.0,S0 do-nothing,CONTROL,0.10117263278720845,0.7433679864583754,-0.20155317029654174,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1,0,0,6
broad,25.0,S1 IS-argmax,PRICE/NEG/1.0,0.1595695617201187,1.2268754794946615,-0.21519235814918936,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1,0,0,6
broad,25.0,S2 clause-gated,R3/NEG/0.2,0.11364717295921145,0.797623699606847,-0.22338831345033017,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1,0,0,6
small,10.0,S0 do-nothing,CONTROL,0.07232854473169592,0.487330838507868,-0.27432604586461007,0.49230650885687877,0.06352093691071903,-0.3612439163986053,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,0,0,0
small,10.0,S1 IS-argmax,PRICE/NEG/1.0,0.20592381821310424,1.1904378531295556,-0.2735153643605547,0.49230650885687877,0.06352093691071903,-0.3612439163986053,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1,0,0,0
small,10.0,S2 clause-gated,CONTROL (nothing cleared),0.07232854473169592,0.487330838507868,-0.27432604586461007,0.49230650885687877,0.06352093691071903,-0.3612439163986053,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,0,0,0
small,25.0,S0 do-nothing,CONTROL,0.038112002378476006,0.3016001543363935,-0.3513764153800931,0.16733509102091268,0.013883319212295575,-0.4542759136476483,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1,0,0,2
small,25.0,S1 IS-argmax,PRICE/NEG/1.0,0.17012572253489622,1.012017795300428,-0.27595096686549747,0.16733509102091268,0.013883319212295575,-0.4542759136476483,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1,0,0,2
small,25.0,S2 clause-gated,VOL/POS/1.0,0.013707655204309166,0.16634417075042246,-0.4050792201735457,0.16733509102091268,0.013883319212295575,-0.4542759136476483,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0,0,0,2
