cadence,fallback,floor,n_slots,n_declined,n_scored,OOS_4b,OOS_4a,med_OOS_Sharpe,mean_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_FULL_Sharpe,med_FULL_MaxDD
D,FB_NONE,0.0,9,0,9,2,0,0.8711,0.8939,0.1051,-0.1477,0.8426,-0.1477
D,FB_NONE,0.1,9,9,0,0,0,,,,,,
D,FB_NONE,0.25,9,9,0,0,0,,,,,,
D,FB_NONE,0.4,9,9,0,0,0,,,,,,
D,FB_NONE,0.5,9,9,0,0,0,,,,,,
D,FB_NONE,0.75,9,9,0,0,0,,,,,,
D,FB_NONE,0.9,9,9,0,0,0,,,,,,
D,FB_CASH,0.0,9,0,9,2,0,0.8711,0.8939,0.1051,-0.1477,0.8426,-0.1477
D,FB_CASH,0.1,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_CASH,0.25,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_CASH,0.4,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_CASH,0.5,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_CASH,0.75,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_CASH,0.9,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
D,FB_SPY,0.0,9,0,9,2,0,0.8711,0.8939,0.1051,-0.1477,0.8426,-0.1477
D,FB_SPY,0.1,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_SPY,0.25,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_SPY,0.4,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_SPY,0.5,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_SPY,0.75,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_SPY,0.9,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
D,FB_LIVE,0.0,9,0,9,2,0,0.8711,0.8939,0.1051,-0.1477,0.8426,-0.1477
D,FB_LIVE,0.1,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
D,FB_LIVE,0.25,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
D,FB_LIVE,0.4,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
D,FB_LIVE,0.5,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
D,FB_LIVE,0.75,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
D,FB_LIVE,0.9,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
W,FB_NONE,0.0,9,0,9,2,0,1.0012,0.9008,0.1052,-0.1616,0.9554,-0.1616
W,FB_NONE,0.1,9,3,6,0,0,1.1041,1.0501,0.1382,-0.2088,1.0449,-0.2088
W,FB_NONE,0.25,9,6,3,0,0,1.105,1.0736,0.1052,-0.1616,1.0993,-0.1616
W,FB_NONE,0.4,9,6,3,0,0,1.105,1.0736,0.1052,-0.1616,1.0993,-0.1616
W,FB_NONE,0.5,9,6,3,0,0,1.105,1.0736,0.1052,-0.1616,1.0993,-0.1616
W,FB_NONE,0.75,9,6,3,0,0,1.105,1.0736,0.1052,-0.1616,1.0993,-0.1616
W,FB_NONE,0.9,9,9,0,0,0,,,,,,
W,FB_CASH,0.0,9,0,9,2,0,1.0012,0.9008,0.1052,-0.1616,0.9554,-0.1616
W,FB_CASH,0.1,9,3,9,0,0,1.1041,0.7001,0.1052,-0.1616,1.0449,-0.1616
W,FB_CASH,0.25,9,6,9,0,0,0.0,0.3579,0.0,0.0,0.0,0.0
W,FB_CASH,0.4,9,6,9,0,0,0.0,0.3579,0.0,0.0,0.0,0.0
W,FB_CASH,0.5,9,6,9,0,0,0.0,0.3579,0.0,0.0,0.0,0.0
W,FB_CASH,0.75,9,6,9,0,0,0.0,0.3579,0.0,0.0,0.0,0.0
W,FB_CASH,0.9,9,9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
W,FB_SPY,0.0,9,0,9,2,0,1.0012,0.9008,0.1052,-0.1616,0.9554,-0.1616
W,FB_SPY,0.1,9,3,9,0,0,1.1041,0.9924,0.15,-0.2088,1.0449,-0.2088
W,FB_SPY,0.25,9,6,9,0,0,0.8769,0.9406,0.1521,-0.3372,0.883,-0.3372
W,FB_SPY,0.4,9,6,9,0,0,0.8769,0.9406,0.1521,-0.3372,0.883,-0.3372
W,FB_SPY,0.5,9,6,9,0,0,0.8769,0.9406,0.1521,-0.3372,0.883,-0.3372
W,FB_SPY,0.75,9,6,9,0,0,0.8769,0.9406,0.1521,-0.3372,0.883,-0.3372
W,FB_SPY,0.9,9,9,9,0,0,0.8769,0.875,0.1533,-0.3372,0.883,-0.3372
W,FB_LIVE,0.0,9,0,9,2,0,1.0012,0.9008,0.1052,-0.1616,0.9554,-0.1616
W,FB_LIVE,0.1,9,3,9,0,0,1.1041,0.8868,0.1052,-0.1616,1.0449,-0.1616
W,FB_LIVE,0.25,9,6,9,0,0,1.105,0.9701,0.0945,-0.1389,1.0993,-0.1389
W,FB_LIVE,0.4,9,6,9,0,0,1.105,0.9701,0.0945,-0.1389,1.0993,-0.1389
W,FB_LIVE,0.5,9,6,9,0,0,1.105,0.9701,0.0945,-0.1389,1.0993,-0.1389
W,FB_LIVE,0.75,9,6,9,0,0,1.105,0.9701,0.0945,-0.1389,1.0993,-0.1389
W,FB_LIVE,0.9,9,9,9,0,0,1.1061,0.9809,0.0788,-0.1224,1.0994,-0.1224
M,FB_NONE,0.0,9,0,9,0,0,0.8312,0.8467,0.1731,-0.3368,1.0132,-0.3368
