panel,H,P_argmax_1,P_argmax_5,P_argmax_observed,P_argmax_interior,P_monotone_dec,observed_argmax,observed_argmax_sym,argmax_set_90
B136,21,0.004,0.0,0.996,0.996,0.0005,2,2,{2}
B136,42,1.0,0.0,1.0,0.0,0.0055,1,1,{1}
B136,52,1.0,0.0,1.0,0.0,0.7675,1,1,{1}
B136,63,0.9455,0.0,0.9455,0.0545,0.3515,1,1,{1}
B136,76,1.0,0.0,1.0,0.0,0.635,1,1,{1}
B136,90,0.002,0.0,0.998,0.998,0.002,2,2,{2}
B136,126,1.0,0.0,1.0,0.0,0.0,1,1,{1}
U56,21,0.0665,0.0,0.578,0.9335,0.0,3,3,"{2,3}"
U56,42,1.0,0.0,1.0,0.0,0.003,1,1,{1}
U56,52,0.0,0.0,0.9585,1.0,0.0,3,3,{3}
U56,63,0.0,0.0,0.845,1.0,0.0,4,4,"{3,4}"
U56,76,1.0,0.0,1.0,0.0,0.817,1,1,{1}
U56,90,0.497,0.0,0.503,0.503,0.0,2,2,"{1,2}"
U56,126,0.993,0.0,0.993,0.007,0.018,1,1,{1}
