form,terms,coef,se,tstat,IS_R2,n
CSD.is,const|c_sd(IS),-0.0209|-1.5722,0.0241|0.2489,-0.87|-6.32,0.19960865108257075,162
TO.is,const|turn_yr_DG(IS),-0.1060|-0.0105,0.0356|0.0204,-2.98|-0.52,0.0016627601341603349,162
TOrs.is,const|turn_yr_RS(IS),-0.0447|-0.0172,0.0269|0.0042,-1.66|-4.11,0.09532425112215082,162
DTO.is,const|d turn_yr(IS),-0.0613|0.0199,0.0236|0.0045,-2.60|4.38,0.10698487939723877,162
LOGTO.is,const|log turn_yr_DG(IS),-0.1193|-0.0173,0.0205|0.0271,-5.81|-0.64,0.002550449730743809,162
CSD+TO.is,const|c_sd(IS)|turn_yr_DG(IS),-0.0134|-1.5690|-0.0054,0.0352|0.2499|0.0184,-0.38|-6.28|-0.30,0.2000475387606756,162
FAM+TO.is,const|1{MA-THRESH}|turn_yr_DG(IS),0.0121|-0.1842|-0.0287,0.0417|0.0390|0.0196,0.29|-4.73|-1.47,0.12461184070661502,162
FAM+CSD.is,const|1{MA-THRESH}|c_sd(IS),-0.0252|0.0277|-1.7229,0.0259|0.0603|0.4121,-0.97|0.46|-4.18,0.20066954464178755,162
CSD.oos,const|c_sd(OOS) PEEK,-0.0211|-1.7053,0.0242|0.2719,-0.87|-6.27,0.19729760159931176,162
TO.oos,const|turn_yr_DG(OOS) PEEK,-0.1034|-0.0116,0.0370|0.0202,-2.80|-0.57,0.0020520358653679516,162
