file,stamp,n_cols,L239_claim,L239_col,S239_claim,S239_col,L471_claim,L471_col,S471_claim,S471_col,L583_claim,L583_col,S583_claim,S583_col,L604_claim,L604_col,S604_claim,S604_col,L607_claim,L607_col,S607_claim,S607_col
2026-09-04_52w-high-proximity_C.grid.csv,2026-09-04,22,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_crypto-sleeve_C.grid.csv,2026-09-04,27,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_drawdown-control_C.grid.csv,2026-09-04,31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2026-09-04_drawdown-control_C.ladder.csv,2026-09-04,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_drawdown-control_C.rates.csv,2026-09-04,23,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-04,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,2026-09-04,23,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
2026-09-04_earnings-season-avoidance_cloud.effect.csv,2026-09-04,10,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_earnings-season-avoidance_cloud.grid.csv,2026-09-04,19,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_earnings-season-avoidance_cloud.premise.csv,2026-09-04,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,2026-09-04,19,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_ensemble-plus-momentum_C.costladder.csv,2026-09-04,10,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2026-09-04_ensemble-plus-momentum_C.diversification.csv,2026-09-04,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-04_ensemble-plus-momentum_C.grid.csv,2026-09-04,17,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_ensemble-plus-momentum_C.walkforward.csv,2026-09-04,18,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,2026-09-04,28,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,2026-09-04,11,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,2026-09-04,28,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,2026-09-04,11,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2026-09-04_interior-4b-selection_cloud.grid.csv,2026-09-04,22,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_interior-4b-selection_cloud.selections.csv,2026-09-04,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-04_is-window-has-no-crash_C.grid.csv,2026-09-04,41,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_is-window-has-no-crash_C.selections.csv,2026-09-04,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv,2026-09-04,21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2026-09-04_monthly-seasonality_cloud.grid.csv,2026-09-04,16,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_one-year-leverage-audit_cloud.grid.csv,2026-09-04,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_rsi2-sleeve_cloud.grid.csv,2026-09-04,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2026-09-04_sector-only-universe_C.grid.csv,2026-09-04,22,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
