gross,L1_H1,L2_H2,L3_OOS,L4_DDcap,L5_CAGRfloor,pass4a,pass4b
0.2,0.8,0.7,0.7,1.0,0.0,0.0,0.0
0.35,0.8,0.7,0.7,1.0,0.0,0.0,0.0
0.5,0.8,0.7,0.7,1.0,0.1,0.0,0.0
0.6,0.8,0.7,0.75,0.9,0.25,0.0,0.1
0.75,0.8,0.7,0.75,0.65,0.55,0.0,0.1
0.85,0.8,0.7,0.75,0.5,0.65,0.0,0.15
0.95,0.8,0.7,0.75,0.35,0.95,0.0,0.3
1.0,0.8,0.7,0.75,0.25,1.0,0.0,0.25
