L,k,n_moved,n_4b_full,mean_OOS_Sharpe
21,0.0,59,6,0.7995575457617328
21,0.25,47,10,0.7894706707062342
21,0.5,40,11,0.7830411910594207
21,1.0,25,18,0.789753979844422
21,1.5,16,20,0.7916566072121632
21,2.0,8,21,0.7898707415343836
21,3.0,6,23,0.789883800225824
63,0.0,59,6,0.7995575457617328
63,0.25,47,10,0.7894706707062342
63,0.5,41,11,0.7828547582649805
63,1.0,28,17,0.7870014984551358
63,1.5,19,19,0.79415254354145
63,2.0,9,20,0.7899168721565083
63,3.0,8,21,0.7898707415343836
126,0.0,59,6,0.7995575457617328
126,0.25,47,10,0.7894706707062342
126,0.5,43,11,0.7841623199512472
126,1.0,26,17,0.7890617585583645
126,1.5,16,19,0.7922037840287102
126,2.0,11,19,0.7909050600440177
126,3.0,8,21,0.7898707415343836
252,0.0,59,6,0.7995575457617328
252,0.25,49,9,0.7923530155620045
252,0.5,44,11,0.78827149432844
252,1.0,31,15,0.7836869770494944
252,1.5,17,18,0.7888874104375999
252,2.0,14,19,0.7900479060224216
252,3.0,9,20,0.7899168721565083
