panel,ladder,rung,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD,pass_4b_full,pass_4b_oos,pass_4a
U56,CADENCE,D,0.15418882113747956,1.0977470339870985,-0.2313086816428257,1.2041423177576647,1.0324056487198017,0.13291307702536015,1.0756296390998652,-0.13089783804216037,0.1720028623122658,1.1220286758694527,-0.2313086816428257,True,True,True,False,True,True,False,True,False,False,False,False,False,False
U56,CADENCE,W,0.15579303602884864,1.1397421543856086,-0.19127561830465034,1.2037428776668584,1.097140421431011,0.13911410293501003,1.1118987741862618,-0.13952273332906884,0.16970650886021055,1.1644019491864868,-0.19127561830465012,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,CADENCE,M,0.14672066810571138,1.0808354680489254,-0.23077357854819613,1.2246309120014793,0.9883856859835123,0.13180109687182995,1.104053492306519,-0.13834878202925416,0.15915017243865281,1.0755954540301762,-0.2307735785481957,True,True,True,False,True,True,False,True,False,False,False,False,False,False
U56,CADENCE,Q,0.15395750607083913,1.13887291098741,-0.19944640073540176,1.2214288587306328,1.0911645135749892,0.13143125403039102,1.1023155993952478,-0.17336967207737197,0.17283764590940476,1.1727057900461273,-0.19944640073540199,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,GROSS,0.3,0.06177209068138412,1.1379536990502963,-0.07990335554891148,1.2021187900513193,1.0950410818139944,0.05531820206122129,1.1105042433202028,-0.056833521445480595,0.06711464253108934,1.1622862333844282,-0.07990335554891137,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.35,0.07215319829305278,1.138191557704988,-0.09276264906597609,1.2023407472267709,1.0953096903268418,0.06459302988917393,1.110699902011382,-0.06617702323668773,0.07841712152689095,1.1625588690865074,-0.09276264906597576,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.4,0.0825546940363826,1.1384202601443685,-0.10549271071234223,1.2025531549706836,1.0955699100930012,0.0738801353292513,1.1108859332218428,-0.07548258742988656,0.08974828728098072,1.1628227967921534,-0.10549271071234234,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.45,0.0929749957228263,1.138640228440702,-0.11809419746843397,1.2027564703178721,1.0958221529435601,0.08317821188629448,1.1110630344561678,-0.0847497425086251,0.10110632211862614,1.163078248816334,-0.11809419746843308,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.5,0.10341242458587718,1.1388509902722965,-0.13056770565714293,1.2029503073680943,1.0960658774400929,0.09248591682400487,1.1112313458653993,-0.09397792559052176,0.11248926002886739,1.1633243139189244,-0.13056770565714304,True,True,True,True,False,True,True,True,False,False,False,False,True,False
U56,GROSS,0.55,0.1138651615922377,1.139051195817924,-0.1429145056741674,1.2031337893197571,1.0962993655634516,0.1018017577703092,1.1113897430313078,-0.10316678231628362,0.12389500112939755,1.1635594865960943,-0.1429145056741673,True,True,True,True,True,True,True,True,False,False,False,True,True,False
