nmax,alpha,shares,orderings,survive,survive_share,excess_over_null,median_sd,median_gap,median_p
5,0.01,3051,30,0,0.0,-0.01,0.0,0.4,0.45555555555555555
5,0.05,3051,30,1,0.03333333333333333,-0.01666666666666667,0.0,0.4,0.45555555555555555
5,0.1,3051,30,1,0.03333333333333333,-0.06666666666666668,0.0,0.4,0.45555555555555555
5,0.2,3051,30,7,0.23333333333333334,0.033333333333333326,0.0,0.4,0.45555555555555555
5,0.32,3051,30,8,0.26666666666666666,-0.053333333333333344,0.0,0.4,0.45555555555555555
5,0.5,3051,30,17,0.5666666666666667,0.06666666666666665,0.0,0.4,0.45555555555555555
7,0.01,5260,174,17,0.09770114942528736,0.08770114942528737,0.0,0.42857142857142855,0.4365079365079365
7,0.05,5260,174,25,0.14367816091954022,0.09367816091954022,0.0,0.42857142857142855,0.4365079365079365
7,0.1,5260,174,49,0.28160919540229884,0.18160919540229883,0.0,0.42857142857142855,0.4365079365079365
7,0.2,5260,174,82,0.47126436781609193,0.2712643678160919,0.0,0.42857142857142855,0.4365079365079365
7,0.32,5260,174,83,0.47701149425287354,0.15701149425287353,0.0,0.42857142857142855,0.4365079365079365
7,0.5,5260,174,114,0.6551724137931034,0.15517241379310343,0.0,0.42857142857142855,0.4365079365079365
8,0.01,6719,214,22,0.102803738317757,0.09280373831775701,0.0,0.4,0.4444444444444444
8,0.05,6719,214,31,0.14485981308411214,0.09485981308411214,0.0,0.4,0.4444444444444444
8,0.1,6719,214,58,0.27102803738317754,0.17102803738317754,0.0,0.4,0.4444444444444444
8,0.2,6719,214,97,0.4532710280373832,0.25327102803738316,0.0,0.4,0.4444444444444444
8,0.32,6719,214,101,0.4719626168224299,0.1519626168224299,0.0,0.4,0.4444444444444444
8,0.5,6719,214,137,0.6401869158878505,0.14018691588785048,0.0,0.4,0.4444444444444444
10,0.01,7788,244,28,0.11475409836065574,0.10475409836065575,0.09486832980505139,0.38749999999999996,0.4444444444444444
10,0.05,7788,244,40,0.16393442622950818,0.11393442622950818,0.09486832980505139,0.38749999999999996,0.4444444444444444
10,0.1,7788,244,68,0.2786885245901639,0.1786885245901639,0.09486832980505139,0.38749999999999996,0.4444444444444444
10,0.2,7788,244,109,0.44672131147540983,0.24672131147540982,0.09486832980505139,0.38749999999999996,0.4444444444444444
10,0.32,7788,244,116,0.47540983606557374,0.15540983606557374,0.09486832980505139,0.38749999999999996,0.4444444444444444
10,0.5,7788,244,153,0.6270491803278688,0.12704918032786883,0.09486832980505139,0.38749999999999996,0.4444444444444444
12,0.01,9749,295,41,0.13898305084745763,0.12898305084745762,0.10475656017578482,0.375,0.3146853146853147
12,0.05,9749,295,64,0.21694915254237288,0.16694915254237286,0.10475656017578482,0.375,0.3146853146853147
12,0.1,9749,295,96,0.3254237288135593,0.2254237288135593,0.10475656017578482,0.375,0.3146853146853147
12,0.2,9749,295,138,0.46779661016949153,0.2677966101694915,0.10475656017578482,0.375,0.3146853146853147
12,0.32,9749,295,148,0.5016949152542373,0.18169491525423725,0.10475656017578482,0.375,0.3146853146853147
12,0.5,9749,295,191,0.6474576271186441,0.14745762711864407,0.10475656017578482,0.375,0.3146853146853147
15,0.01,10518,332,49,0.14759036144578314,0.13759036144578313,0.09486832980505137,0.33333333333333337,0.3044014808720691
15,0.05,10518,332,73,0.21987951807228914,0.16987951807228913,0.09486832980505137,0.33333333333333337,0.3044014808720691
15,0.1,10518,332,110,0.3313253012048193,0.23132530120481928,0.09486832980505137,0.33333333333333337,0.3044014808720691
15,0.2,10518,332,154,0.463855421686747,0.26385542168674697,0.09486832980505137,0.33333333333333337,0.3044014808720691
15,0.32,10518,332,169,0.5090361445783133,0.18903614457831325,0.09486832980505137,0.33333333333333337,0.3044014808720691
15,0.5,10518,332,213,0.641566265060241,0.14156626506024095,0.09486832980505137,0.33333333333333337,0.3044014808720691
