panel,c,Sharpe_IS
B136,0.01,0.001810394678751548
B136,0.03,0.0022071645787937744
B136,0.05,0.0025623846341571443
B136,0.08,0.0021408415508927803
B136,0.1,0.002329291265960931
SMALL,0.01,0.0017866216485610265
SMALL,0.03,0.0016972617103007126
SMALL,0.05,0.0018027552655451862
SMALL,0.08,0.0013833776466436465
SMALL,0.1,0.0014984118218858145
U56,0.01,0.0009414926827318038
U56,0.03,0.0010771311488542157
U56,0.05,0.0013151759467591173
U56,0.08,0.0008763009081818041
U56,0.1,0.0010441896175845677
