panel,n,Sharpe_span,OOS_Sharpe_span,CAGR_span,MaxDD_span
B136,10,0.006710637832684885,0.008239903984885166,0.06010897231796375,0.10043509870143352
B136,20,0.0069313949366256455,0.0068563078381636,0.07311817742135451,0.1148763362210462
B136,40,0.003488886910083533,0.0006325784774081633,0.07686748340880412,0.1397659977622041
B136,5,0.008724563321488521,0.01120132541408947,0.05503512701120705,0.13373877229532605
B136,80,0.002109624931782683,0.001969530324956059,0.08146298586187406,0.13623521499608593
B136,ALL,0.0020059134851240223,0.0019396253415715492,0.07924068598416922,0.13392948357625334
U56,10,0.0028342287135016964,0.0005751920473648919,0.07452851409117667,0.08457519988414908
U56,20,0.002229562218040604,0.0003143983917619497,0.07926535615359831,0.11190481186848455
U56,40,0.003125673006777019,0.0005583252580396714,0.08171986078746163,0.11113358825852127
U56,5,0.0015820861935137431,0.0022879449092378934,0.06795896093894704,0.09567725919332792
U56,80,0.002989172212263691,3.151655944888532e-05,0.08047449497402237,0.10581612546745411
U56,ALL,0.0031075452659059533,3.4076300711394225e-05,0.08040241756228772,0.10581612546745389
