claimset,kind,cells,survive_cellwt,claims,survive_claimwt,med_n_cert,unadjudicated
STRICT,ROT,17,0.9411764705882353,55,0.9818181818181818,4.0,1
STRICT,MID,17,1.0,55,1.0,4.0,0
STRICT,FIX,17,1.0,55,1.0,3.0,0
WIDE,ROT,88,0.9772727272727273,505,0.9366336633663367,5.0,2
WIDE,MID,88,1.0,505,1.0,4.5,0
WIDE,FIX,88,0.9886363636363636,505,0.994059405940594,4.0,1
STRUCT,ROT,12,0.8333333333333334,12,0.8333333333333334,1.5,2
STRUCT,MID,12,1.0,12,1.0,2.5,0
STRUCT,FIX,12,0.9166666666666666,12,0.9166666666666666,2.0,1
