term,n,mean,t,p,W,L,Z
ROOM the control carries   OOS_ctl  - OOS_mean,1834,0.02583363611916473,22.210346066484302,0.0,1384,440,10
what the argmax buys       OOS_star - OOS_mean,1834,0.020083455161101084,11.764265688999954,0.0,1366,458,10
argmax vs control          OOS_star - OOS_ctl,1834,-0.005750180958063642,-3.1877094794435026,0.0014340454097190314,535,632,667
oracle regret              OOS_best - OOS_star,1834,0.047798660407622456,26.94009425050957,0.0,1297,0,537
