file,ycol,cell,panel_class,rows,distinct_n,n_min,n_max,rho
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,88,8,5,69,0.54374949804356
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,88,8,5,69,0.5837741469121165
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,OOS_Sharpe,panel=u56/cost=10.0,LARGE,88,8,2,28,0.6046650611996068
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,OOS_Sharpe,panel=u56/cost=25.0,LARGE,88,8,2,28,0.5911933501170196
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=10.0,LARGE,98,14,3,91,0.7898105412746509
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=broad/cost=25.0,LARGE,98,14,3,91,0.8179078063242448
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=10.0,SMALL,98,14,4,141,-0.4816354430873854
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=small/cost=25.0,SMALL,98,14,4,141,-0.28271754434456
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=10.0,LARGE,98,13,2,37,0.7453241435158022
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C159/panel=u56/cost=25.0,LARGE,98,13,2,37,0.7530282151915664
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C165/panel=u56/cost=10.0,LARGE,63,9,2,37,0.7136710905330678
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=10.0,LARGE,88,8,5,69,0.54374949804356
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C168/panel=broad/cost=25.0,LARGE,88,8,5,69,0.5837741469121165
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=10.0,LARGE,88,8,2,28,0.6046650611996068
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,OOS_Sharpe,corpus=C168/panel=u56/cost=25.0,LARGE,88,8,2,28,0.5911933501170196
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=broad/cost=10.0,LARGE,42,7,5,91,0.7346606499209345
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=broad/cost=25.0,LARGE,21,7,5,91,0.809994770057251
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,OOS_Sharpe,panel=small/cost=10.0,SMALL,42,7,7,141,-0.5676923203934494
