tape,panel,gross,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,A_H1,A_H2,A_DD,pass_4b_five,pass_4b_core,pass_4a
T_OWN,U56,0.2,0.04107593086078243,1.1374123009179915,-0.053794919450493084,1.2016507861370052,1.094405091633193,1.1616456414364973,0.044600158123453415,-0.05379491945049364,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.225,0.04624046314221997,1.1375402713177611,-0.06037100099087367,1.2017707222611487,1.0945480137886427,1.1617910510495844,0.05021550653644602,-0.06037100099087356,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.25,0.05141107802559941,1.1376664706297899,-0.06691437162327019,1.2018888365296299,1.0946893108640652,1.1619347594424347,0.0558391438327257,-0.0669143716232703,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.275,0.0565875774676281,1.137790622945121,-0.07342510872327346,1.2020047865637333,1.0948287581203169,1.1620765495053667,0.06147084861305774,-0.07342510872327368,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.3,0.06176977027085084,1.1379126985991532,-0.07990333698484353,1.2021189307239875,1.0949660199988558,1.1622160035760587,0.06711038275279413,-0.0799033369848432,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.325,0.0669574685901222,1.1380327560823988,-0.08634918631247857,1.2022311330873097,1.095101319903113,1.162353358277852,0.07275753955480435,-0.08634918631247868,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.35,0.07215046274232884,1.1381505359724737,-0.09276262767838162,1.2023408746572048,1.0952346035533385,1.1624886125240645,0.07841209628705603,-0.0927626276783815,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.375,0.07734855163278431,1.138266014545759,-0.09914374770379353,1.2024481736876933,1.0953658136949977,1.1626217125428042,0.08407382381802897,-0.09914374770379297,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.4,0.08255153516569935,1.1383792178318644,-0.10549268657570576,1.2025532702334782,1.0954947988576895,1.162752513880971,0.08974248049723443,-0.10549268657570621,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.425,0.08775922416553628,1.1384903005533304,-0.11180949312607091,1.2026560684367842,1.09562192759616,1.1628813370253441,0.09541786381678308,-0.11180949312606991,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.45,0.09297140530058834,1.1385991658513437,-0.11809417065750338,1.2027565738245596,1.0957470175710882,1.1630079398676847,0.1010997176289119,-0.11809417065750316,True,True,True,True,False,False,False,True,False,False,False
T_OWN,U56,0.475,0.09818787026057474,1.1387057608289775,-0.1243468144294928,1.2028546780465483,1.0958700595163615,1.163132283162366,0.10678780300412205,-0.1243468144294928,True,True,True,True,False,False,False,False,False,False,False
