outcome,support,split,persist,cv
RESID,UNBOUNDED,S2016,0.2991880727276833,2.302608834318946
RESID,UNBOUNDED,S2018,0.19304336535598204,3.0319756137812512
GAP,UNBOUNDED,S2016,0.9703229503176155,1.1651677870375456
GAP,UNBOUNDED,S2018,0.9563961324430783,1.1601865362811374
PRED,UNBOUNDED,S2016,0.9824799840804108,1.174434232779729
PRED,UNBOUNDED,S2018,0.9747234183083743,1.162398191928714
CSD,SEMI,S2016,0.9679886417683163,1.1820662537222022
CSD,SEMI,S2018,0.9657869964618431,1.1801297468652323
TURN,SEMI,S2016,0.9932736913265054,1.0639517602040165
TURN,SEMI,S2018,0.9899825138555467,1.0693862805710719
SHARPE,UNBOUNDED,S2016,0.7091062025711266,0.19371860945015498
SHARPE,UNBOUNDED,S2018,0.6746758571245101,0.23402323297372968
CAGR,UNBOUNDED,S2016,0.8382411676623467,0.4245654731870736
CAGR,UNBOUNDED,S2018,0.7549653452560895,0.43127639584972827
MAXDD,BOUNDED,S2016,0.8145339639071301,0.34242226166070117
MAXDD,BOUNDED,S2018,0.8082824261303623,0.4061874384806381
MAXDD_DG,BOUNDED,S2016,0.9500317898050591,0.4969236542049606
MAXDD_DG,BOUNDED,S2018,0.9711612691073881,0.4829443438343242
WINRATE,BOUNDED,S2016,0.6601856775419099,0.04771369416218131
WINRATE,BOUNDED,S2018,0.6798260468950001,0.04493459506193836
DDSHARE,BOUNDED,S2016,0.8879559788203975,0.033947840577515175
DDSHARE,BOUNDED,S2018,0.8625435713539028,0.03786038121678477
GSHARE,BOUNDED,S2016,0.9961882980750906,0.5221096470579639
GSHARE,BOUNDED,S2018,0.9955021917286069,0.5227560577225099
CBAR,BOUNDED,S2016,0.9952692852132703,0.5207749750207943
CBAR,BOUNDED,S2018,0.9931748995499329,0.521119876618692
CTAC1,BOUNDED,S2016,0.8882947269183599,0.09249440566302758
CTAC1,BOUNDED,S2018,0.8738457239390822,0.09268042557531944
HITSPY,BOUNDED,S2016,0.5393203941810677,0.024963962336875648
HITSPY,BOUNDED,S2018,0.6871258041039534,0.031308177068771724
VOL,SEMI,S2016,0.6871970091495299,0.2718621248685811
VOL,SEMI,S2018,0.6419701338346311,0.2921659756150448
TO,SEMI,S2016,0.9918652028548001,0.7131099939508828
TO,SEMI,S2018,0.9848396962294002,0.7155871250118104
KURT,SEMI,S2016,0.0005828714817778569,1.4410852787469859
KURT,SEMI,S2018,0.08912570689044415,1.0895281347845758
SKEW,UNBOUNDED,S2016,0.5293446859197726,1.9765077014352712
SKEW,UNBOUNDED,S2018,0.5647629491321142,1.2009338743346665
CALMAR,UNBOUNDED,S2016,0.7069807680637236,0.3232615261662634
CALMAR,UNBOUNDED,S2018,0.6124144569063215,0.36913414528200716
