panel,ladder,rung_set,stat,is_path,rung_set_moves,n_subtapes,b_ratio,b_gap,b_sd,b_agree
B136,CADENCE,CORE,CAGR,False,True,6,-0.3974828231930363,-0.8765478117978719,-0.4889421128489893,-0.09575495904306543
B136,CADENCE,CORE,CALMAR,True,True,6,-0.03187340683376804,-0.7149772651312575,-0.5594170364508739,-0.1477757379611591
B136,CADENCE,CORE,MAXDD,True,True,6,0.38191207025373114,0.5494192066984283,0.17363574482423527,0.04385583107826536
B136,CADENCE,CORE,SHARPE,False,True,6,-0.10856901904151486,-0.6012826870501853,-0.46452912039596356,-0.03875721806531176
B136,CADENCE,CORE,ULCER,True,True,6,0.043714255675425036,-0.12498244248872549,-0.248094814640491,-0.03094684420331194
B136,CADENCE,CORE,VOL,False,True,6,0.04848698452833912,0.00446877912171301,-0.02620493851607101,-0.0039038343154853827
B136,CADENCE,EXT,CAGR,False,True,6,-0.14160871987974824,-0.6874574185875074,-0.4558406912738137,-0.033585136564867654
B136,CADENCE,EXT,CALMAR,True,True,6,-0.07406104789814388,-0.7529210020687215,-0.620572363908784,-0.06505142799079061
B136,CADENCE,EXT,MAXDD,True,True,6,0.01932227384291644,0.1312252021012415,0.15490236166251625,0.0571618496964461
B136,CADENCE,EXT,SHARPE,False,True,6,-0.1006650206500316,-0.533714090140021,-0.49277339641246287,-0.026508833403448194
B136,CADENCE,EXT,ULCER,True,True,6,0.0986108404818253,-0.07760911221073073,-0.1957066691653403,-0.11308765756884094
B136,CADENCE,EXT,VOL,False,True,6,0.11565157746630798,-0.08148133022006743,-0.14699512789169972,-0.0024923923728123183
B136,GROSS,CORE,CAGR,False,False,6,0.4897956781999903,0.016775426700680725,-0.4674584097960217,0.005595036330910578
B136,GROSS,CORE,CALMAR,True,False,6,0.7406480390728554,0.08120359289538671,-0.6477280822210656,0.13769969501250334
B136,GROSS,CORE,MAXDD,True,False,6,0.11423224171734242,0.14187389964757768,0.03687942183214581,0.0
B136,GROSS,CORE,SHARPE,False,False,6,0.42957240810532266,0.06524400492555721,-0.3644316510250198,0.0600235109149663
B136,GROSS,CORE,ULCER,True,False,6,0.22167049689202675,0.0041260206101429026,-0.22022523965685542,0.0
B136,GROSS,CORE,VOL,False,False,6,0.48168027529682345,0.003306806024344015,-0.47754759376987643,0.0
B136,GROSS,EXT,CAGR,False,False,6,0.4897956781999903,0.016775426700680725,-0.4674584097960217,0.005595036330910578
B136,GROSS,EXT,CALMAR,True,False,6,0.7406480390728554,0.08120359289538671,-0.6477280822210656,0.13769969501250334
B136,GROSS,EXT,MAXDD,True,False,6,0.11423224171734242,0.14187389964757768,0.03687942183214581,0.0
B136,GROSS,EXT,SHARPE,False,False,6,0.42957240810532266,0.06524400492555721,-0.3644316510250198,0.0600235109149663
B136,GROSS,EXT,ULCER,True,False,6,0.22167049689202675,0.0041260206101429026,-0.22022523965685542,0.0
B136,GROSS,EXT,VOL,False,False,6,0.48168027529682345,0.003306806024344015,-0.47754759376987643,0.0
B136,H,CORE,CAGR,False,True,6,-0.42189193358323906,-0.804560441700775,-0.48237448024267077,-0.04588106157635316
B136,H,CORE,CALMAR,True,True,6,0.2355077347127384,-0.30861412619580514,-0.5343688191032165,-0.12506580403215764
B136,H,CORE,MAXDD,True,True,6,0.480391276516278,0.645525263179668,0.1766070098075943,-0.07355205018327822
B136,H,CORE,SHARPE,False,True,6,-1.066981133484055,-1.4118445078024924,-0.4463102558138652,-0.12796416464168078
B136,H,CORE,ULCER,True,True,6,-0.012092415072152635,-0.14685439453927118,-0.10299954812342815,0.014153127435591304
B136,H,CORE,VOL,False,True,6,-0.3524588971773018,-0.6915450369527664,-0.3264901814900398,-0.09214399784293438
B136,H,EXT,CAGR,False,True,6,-0.2609678859034519,-0.7344722356428083,-0.40151572967179155,-0.0553089171428701
B136,H,EXT,CALMAR,True,True,6,-0.07615841639018098,-0.6038859945376609,-0.5312149942908652,-0.1739275994667478
B136,H,EXT,MAXDD,True,True,6,0.08690133014630691,0.25924176516726627,0.1694093976467121,-0.061418841101800466
B136,H,EXT,SHARPE,False,True,6,-0.7777461065179379,-1.1798439683752577,-0.44227649388053214,-0.1406775921943325
B136,H,EXT,ULCER,True,True,6,-0.2517719163531078,-0.24070430137670426,-0.12559997430251815,-0.056770366914856873
B136,H,EXT,VOL,False,True,6,-0.1650727542691255,-0.31761938194878836,-0.29486463183333433,-0.029709642750048254
B136,N,CORE,CAGR,False,False,6,-0.13532132893530538,-0.6157813818786058,-0.4267883505009345,-0.032013270065185236
B136,N,CORE,CALMAR,True,False,6,0.43799078979777917,-0.2548686303855231,-0.4919097755917919,-0.11352514184405235
B136,N,CORE,MAXDD,True,False,6,0.23940580056075503,0.5041480758913974,0.21903412521741897,-0.0797261016027104
B136,N,CORE,SHARPE,False,False,6,-0.5902718820449475,-0.9851324789327511,-0.4453286655769227,-0.14615361907586097
B136,N,CORE,ULCER,True,False,6,-0.17967989019431915,-0.3480603048313469,-0.11479051940422977,0.09635726407146891
B136,N,CORE,VOL,False,False,6,0.4486992914294235,0.23386800033435542,-0.1455735636920909,0.06169751466760967
B136,N,EXT,CAGR,False,False,6,-0.13532132893530538,-0.6157813818786058,-0.4267883505009345,-0.032013270065185236
B136,N,EXT,CALMAR,True,False,6,0.43799078979777917,-0.2548686303855231,-0.4919097755917919,-0.11352514184405235
B136,N,EXT,MAXDD,True,False,6,0.23940580056075503,0.5041480758913974,0.21903412521741897,-0.0797261016027104
B136,N,EXT,SHARPE,False,False,6,-0.5902718820449475,-0.9851324789327511,-0.4453286655769227,-0.14615361907586097
B136,N,EXT,ULCER,True,False,6,-0.17967989019431915,-0.3480603048313469,-0.11479051940422977,0.09635726407146891
B136,N,EXT,VOL,False,False,6,0.4486992914294235,0.23386800033435542,-0.1455735636920909,0.06169751466760967
U56,CADENCE,CORE,CAGR,False,True,6,0.27151336418356414,-0.1351296908201822,-0.47349376843420266,0.05434635572352139
U56,CADENCE,CORE,CALMAR,True,True,6,0.3563810272115344,-0.06081373237093021,-0.5492490156934399,0.09018344382022865
U56,CADENCE,CORE,MAXDD,True,True,6,0.021659654513397283,0.2619665800185994,0.1097432582627749,-0.050749742573063174
U56,CADENCE,CORE,SHARPE,False,True,6,0.3351108440630521,-0.21970327019664757,-0.49199545415039214,0.00504598274024339
U56,CADENCE,CORE,ULCER,True,True,6,0.09702941350476055,-0.11915670611754253,-0.24049098575262895,-0.00012690560159485032
U56,CADENCE,CORE,VOL,False,True,6,0.029525288073499786,-0.4325358187751335,-0.39388886107143745,-0.0033354980545860936
U56,CADENCE,EXT,CAGR,False,True,6,0.09499835586930276,-0.3872551279442229,-0.4438203106977998,0.01863418433751734
U56,CADENCE,EXT,CALMAR,True,True,6,-0.061335194063227585,-0.5859189945758093,-0.5699004833435364,-0.03914028333293129
