cadence,panel,fold,SET,window,IS_len,chooser,ladder,rung,moved,OOS_Sharpe
MONTH,U56,201002,ALL4,L252,252,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L252,252,H_NARROWEST,H,252,True,2.838999792031825
MONTH,U56,201002,ALL4,L252,252,H_ANY,H,252,True,2.838999792031825
MONTH,U56,201002,ALL4,L252,252,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L252,252,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L504,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L504,264,H_NARROWEST,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L504,264,H_ANY,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L504,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L504,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L756,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L756,264,H_NARROWEST,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L756,264,H_ANY,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L756,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L756,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L1260,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L1260,264,H_NARROWEST,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L1260,264,H_ANY,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L1260,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L1260,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L2520,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,L2520,264,H_NARROWEST,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L2520,264,H_ANY,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L2520,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,L2520,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,EXPAND,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,ALL4,EXPAND,264,H_NARROWEST,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,EXPAND,264,H_ANY,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,EXPAND,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,ALL4,EXPAND,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L252,252,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L252,252,H_NARROWEST,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L252,252,H_ANY,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L252,252,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,NG,L252,252,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L504,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L504,264,H_NARROWEST,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L504,264,H_ANY,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L504,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,NG,L504,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L756,264,H_RUNNERUP,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L756,264,H_NARROWEST,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L756,264,H_ANY,CADENCE,W,False,2.4258769128292923
MONTH,U56,201002,NG,L756,264,CH_RAW,N,10,True,2.4032874185718467
MONTH,U56,201002,NG,L756,264,CH_ANCHOR,CADENCE,W,False,2.4258769128292923
