char,flavour,level,n,achieved,n_from_B,premium,sd,prem_IS,prem_OOS,n_fit,intercept,slope,r2,span,effect,sd_within,ratio_to_GAP,r2_vs_tpers,mono_down,mono_up,req_sign,sign_ok
retac,BONLY,-0.089629,6,-0.07516141919260479,36.0,-0.07075466167197418,0.043825880565227404,-0.03415003485177039,-0.08871057380174108,24,-0.032716724613475856,0.49147944197450055,0.045795757216624766,0.060413406053037105,0.029691947094725592,0.048421340813601534,0.30359864105036394,0.05405478832476572,False,True,-1.0,False
retac,BONLY,-0.049633,6,-0.049046560985829775,36.0,-0.05975958238607393,0.055160134114903364,-0.04530069579009916,-0.06840232834739939,24,-0.032716724613475856,0.49147944197450055,0.045795757216624766,0.060413406053037105,0.029691947094725592,0.048421340813601534,0.30359864105036394,0.05405478832476572,False,True,-1.0,False
retac,BONLY,-0.028556,6,-0.03536745081586995,36.0,-0.04927958855878863,0.05983831869302303,-0.06278283866859048,-0.043008294555587696,24,-0.032716724613475856,0.49147944197450055,0.045795757216624766,0.060413406053037105,0.029691947094725592,0.048421340813601534,0.30359864105036394,0.05405478832476572,False,True,-1.0,False
retac,BONLY,-0.005542,6,-0.020393041067203164,36.0,-0.03952387005885993,0.03486102988125233,-0.029049761286840937,-0.04614293922715141,24,-0.032716724613475856,0.49147944197450055,0.045795757216624766,0.060413406053037105,0.029691947094725592,0.048421340813601534,0.30359864105036394,0.05405478832476572,False,True,-1.0,False
retac,POOL,-0.089629,6,-0.07695433306021562,14.166666666666666,-0.10912948699569065,0.1370757474206273,-0.2624981790820302,-0.03586242101139412,30,-0.11215975362785782,-0.27839845831566823,0.004557644760861845,0.09697061907950326,-0.02699647085364963,0.12630109993023078,0.27603753429089606,0.00537959273481409,False,False,-1.0,True
retac,POOL,-0.049633,6,-0.04417589955716858,9.5,-0.06909260612634381,0.08302556930102829,-0.0761609140239848,-0.06410969335054335,30,-0.11215975362785782,-0.27839845831566823,0.004557644760861845,0.09697061907950326,-0.02699647085364963,0.12630109993023078,0.27603753429089606,0.00537959273481409,False,False,-1.0,True
retac,POOL,-0.028556,6,-0.028686867824595796,8.5,-0.14902533482223765,0.10616504348939537,-0.22184799923213785,-0.11522674195444739,30,-0.11215975362785782,-0.27839845831566823,0.004557644760861845,0.09697061907950326,-0.02699647085364963,0.12630109993023078,0.27603753429089606,0.00537959273481409,False,False,-1.0,True
retac,POOL,-0.005542,6,-0.010807359086658813,7.5,-0.055030381901283905,0.09196401548197095,-0.12231293258993557,-0.021356172670461245,30,-0.11215975362785782,-0.27839845831566823,0.004557644760861845,0.09697061907950326,-0.02699647085364963,0.12630109993023078,0.27603753429089606,0.00537959273481409,False,False,-1.0,True
retac,POOL,0.026177,6,0.01498806266712633,4.0,-0.13797600993283896,0.21327512395813195,-0.26794819369623674,-0.06097852353964627,30,-0.11215975362785782,-0.27839845831566823,0.004557644760861845,0.09697061907950326,-0.02699647085364963,0.12630109993023078,0.27603753429089606,0.00537959273481409,False,False,-1.0,True
retac,SONLY,-0.089629,6,-0.07407114808857862,0.0,-0.16410043264215668,0.04255725117256721,-0.40713249486115705,-0.04515065659031637,30,-0.15077853903141886,0.12122897549329018,0.001492150421975702,0.09387250392771833,0.011380067478147151,0.08668684806831292,0.11636060816101382,0.0017612521358054108,False,False,-1.0,False
