N,tau,block,pick,n_adm,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,vs_SPY,vs_v2
10,0.8,0,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,1,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,2,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,3,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,4,TOP20/ebud-0.10,21,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,5,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,6,TOP20/ebud-0.10,22,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,7,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,8,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,9,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,10,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,11,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,12,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,13,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,14,TOP20/stop25,18,1.1842352916693824,0.16282750967035442,1.1562772031769837,-0.23789654921593506,0.27426643599469946,-0.1287951600294983
10,0.8,15,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,16,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,17,TOP20/ebud-0.10,20,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,18,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,19,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,20,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,21,TOP20/ebud-0.10,20,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.8,22,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
