label,CAGR,Sharpe,MaxDD,H1,H2,p4a,p4b,panel,seg,pick,path
WF-A NARROW@0.2,0.1726859154158671,1.059692806926978,-0.29178994535323954,1.0319087050984237,1.0871826236589146,False,False,U56,FULL,NARROW@0.2,WF-A
WF-A NARROW@0.2,0.1937811317758067,1.1472051835794614,-0.29178994535323965,1.2337518086591919,1.0550063519335002,False,False,U56,OOS 2017+,NARROW@0.2,WF-A
WF-B HIVOL@0.85 [FULL],0.17984011538955658,1.1752342778727958,-0.25398048775444104,1.2205240859341193,1.136428608407646,False,False,U56,FULL,HIVOL@0.85,WF-B
WF-B HIVOL@0.85 [OOS 2017+],0.1868650304639634,1.2058688074731334,-0.25398048775444126,1.39776528435723,0.9953445667042217,False,False,U56,OOS 2017+,HIVOL@0.85,WF-B
WF-A NARROW@0.2,0.1724756904097995,0.9821562025947054,-0.32721478414341354,1.0797596851175624,0.8871207308774951,False,False,B136,FULL,NARROW@0.2,WF-A
WF-A NARROW@0.2,0.17149493514148495,0.9859673608391819,-0.32721478414341354,1.0075911871068008,0.9708701842579156,False,False,B136,OOS 2017+,NARROW@0.2,WF-A
WF-B HIVOL@0.85 [FULL],0.1909987898699239,1.1624103690072516,-0.2876275855295487,1.245657605257991,1.0825203813604412,False,False,B136,FULL,HIVOL@0.85,WF-B
WF-B HIVOL@0.85 [OOS 2017+],0.18767192369538788,1.1640752578624836,-0.2876275855295487,1.2406475524106098,1.0846667774455887,False,False,B136,OOS 2017+,HIVOL@0.85,WF-B
WF-A NARROW@0.2,0.11316092892731744,0.5864210355542709,-0.4524965765923433,0.6216404195032557,0.5719695110204387,False,False,SMALL,FULL,NARROW@0.2,WF-A
WF-A NARROW@0.2,0.12220977296040392,0.5988474172378518,-0.4524965765923433,0.9121770977412278,0.27463396574526727,False,False,SMALL,OOS 2017+,NARROW@0.2,WF-A
WF-B HIVOL@0.5 [FULL],0.14615669508933937,0.688763117065411,-0.4261572076841952,0.9055915623527235,0.5833286426161253,False,False,SMALL,FULL,HIVOL@0.5,WF-B
WF-B HIVOL@0.5 [OOS 2017+],0.1369908565753184,0.6150250797303564,-0.42615720768419507,0.963577160834287,0.29929254072600187,False,False,SMALL,OOS 2017+,HIVOL@0.5,WF-B
