claim_set,cost_rung,n_claims,n_named,share_unnamed,n_at_rung,share_CAGR,share_SHARPE,share_DD,share_CAGR_only,share_SHARPE_only,n_resolved,n_resolved_loose,share_CAGR_at_rung,share_SHARPE_at_rung
NARROW,0.0,59,59,0.0,8,0.3389830508474576,0.3050847457627119,0.4576271186440678,0.288135593220339,0.22033898305084745,1,10,0.25,0.25
NARROW,10.0,59,59,0.0,20,0.3389830508474576,0.3050847457627119,0.4576271186440678,0.288135593220339,0.22033898305084745,1,10,0.4,0.25
NARROW,25.0,59,59,0.0,16,0.3389830508474576,0.3050847457627119,0.4576271186440678,0.288135593220339,0.22033898305084745,1,10,0.3125,0.3125
NARROW,50.0,59,59,0.0,5,0.3389830508474576,0.3050847457627119,0.4576271186440678,0.288135593220339,0.22033898305084745,1,10,0.2,0.2
PROX,0.0,125,125,0.0,9,0.392,0.472,0.488,0.224,0.216,2,18,0.3333333333333333,0.3333333333333333
PROX,10.0,125,125,0.0,51,0.392,0.472,0.488,0.224,0.216,2,18,0.4117647058823529,0.5490196078431373
PROX,25.0,125,125,0.0,30,0.392,0.472,0.488,0.224,0.216,2,18,0.4666666666666667,0.36666666666666664
PROX,50.0,125,125,0.0,6,0.392,0.472,0.488,0.224,0.216,2,18,0.16666666666666666,0.5
WIDE,0.0,2088,212,0.8984674329501916,201,0.3915094339622642,0.41509433962264153,0.4716981132075472,0.2358490566037736,0.23113207547169812,82,425,0.4666666666666667,0.4
WIDE,10.0,2088,212,0.8984674329501916,915,0.3915094339622642,0.41509433962264153,0.4716981132075472,0.2358490566037736,0.23113207547169812,82,425,0.43820224719101125,0.43820224719101125
WIDE,25.0,2088,212,0.8984674329501916,554,0.3915094339622642,0.41509433962264153,0.4716981132075472,0.2358490566037736,0.23113207547169812,82,425,0.4117647058823529,0.39215686274509803
WIDE,50.0,2088,212,0.8984674329501916,98,0.3915094339622642,0.41509433962264153,0.4716981132075472,0.2358490566037736,0.23113207547169812,82,425,0.25,0.4166666666666667
