corpus,stat_kind,arm,n,published_clears,arm_clears,gained_0to1,lost_1to0,lost_and_harmful,moved,moved_pct
O,MaxDD,ABS/MAX,180,28,28,0,0,0,0,0.0
O,MaxDD,ABS/Q95,180,28,40,12,0,0,12,6.666666666666667
O,MaxDD,SIGNED/MAX,180,28,16,6,18,18,24,13.333333333333334
O,MaxDD,SIGNED/Q95,180,28,22,12,18,18,30,16.666666666666668
O,Sharpe,ABS/MAX,358,68,68,0,0,0,0,0.0
O,Sharpe,ABS/Q95,358,68,94,26,0,0,26,7.262569832402234
O,Sharpe,SIGNED/MAX,358,68,12,0,56,56,56,15.64245810055866
O,Sharpe,SIGNED/Q95,358,68,21,9,56,56,65,18.156424581005588
S,MaxDD,ABS/MAX,96,24,24,0,0,0,0,0.0
S,MaxDD,ABS/Q95,96,24,37,13,0,0,13,13.541666666666666
S,MaxDD,SIGNED/MAX,96,24,24,0,0,0,0,0.0
S,MaxDD,SIGNED/Q95,96,24,37,13,0,0,13,13.541666666666666
S,Sharpe,ABS/MAX,96,16,16,0,0,0,0,0.0
S,Sharpe,ABS/Q95,96,16,23,7,0,0,7,7.291666666666667
S,Sharpe,SIGNED/MAX,96,16,72,56,0,0,56,58.333333333333336
S,Sharpe,SIGNED/Q95,96,16,81,65,0,0,65,67.70833333333333
T,Sharpe,ABS/MAX,360,80,80,0,0,0,0,0.0
T,Sharpe,ABS/Q95,360,80,106,26,0,0,26,7.222222222222222
T,Sharpe,SIGNED/MAX,360,80,58,37,59,59,96,26.666666666666668
T,Sharpe,SIGNED/Q95,360,80,78,57,59,59,116,32.22222222222222
