CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,panel,dial,value,anchor,is_anchor,turnover_yr
0.033386701158808485,0.942476543594903,-0.04610566384907988,0.8931048859957319,0.9902142709843802,0.02895367715678976,0.8896804550563974,-0.038181099893963344,0.037059420030472356,0.9841210387471283,-0.04610566384907899,U56,GROSS,0.15,0.75,0,3.565784837701846
0.06668560030231219,0.9445663946824031,-0.09071660715500562,0.8947295260406122,0.992693628431734,0.057724870713689036,0.8911255826698466,-0.07552818848043918,0.07413755756806406,0.9866714294038791,-0.09071660715500551,U56,GROSS,0.3,0.75,0,7.1034778047285725
0.09981437026462192,0.9465803031637257,-0.13385545217592754,0.8962817163824746,0.9950946365053671,0.08624528706297863,0.8924947612396379,-0.11203365474326887,0.11113977712159806,0.9891464196954187,-0.13385545217592687,U56,GROSS,0.45,0.75,0,10.619565522038947
0.13268561124513045,0.9485063982288415,-0.1755405555562013,0.8977452315149769,0.997408995897696,0.11444241533604504,0.8937742896853708,-0.1476944196934855,0.14796545081882373,0.9915353764955672,-0.17554055555620163,U56,GROSS,0.6,0.75,0,14.122344935844886
0.16520616497465235,0.9503303963383655,-0.21579779850239678,0.8991069960523866,0.9996213026177087,0.14223933116250675,0.8949508934883168,-0.18250415115475327,0.18450685681430068,0.9938232266964572,-0.21579779850239666,U56,GROSS,0.75,0.75,1,17.62247232499748
0.19727704160174908,0.9520380946942644,-0.2546495944191304,0.9003567479799558,1.0017138720506382,0.1695542818299658,0.8960090446630363,-0.21646025704778682,0.2206493911888292,0.9959966228815833,-0.25464959441912993,U56,GROSS,0.9,0.75,0,21.132971150566
0.228803089635071,0.9536455609989576,-0.29212243130447724,0.9015008888259297,1.003711097938526,0.19630725397200677,0.8969570136551204,-0.24956086149957124,0.25628392299850544,0.9980773082813444,-0.2921224313044777,U56,GROSS,1.05,0.75,0,24.66121084456124
0.25967963575296227,0.9551405143433872,-0.32823939215024855,0.9025376308441655,1.0055916562767295,0.2224151733230879,0.8977933074935366,-0.28181642267320206,0.2912860568951581,1.000045155496227,-0.3282393921502481,U56,GROSS,1.2,0.75,0,28.22053863645083
0.2898132815300034,0.9565496814441636,-0.36302658110266783,0.9034837261489918,1.0073909162221037,0.24780043626793602,0.8985373072406658,-0.31321618473355695,0.3255475299956121,1.0019322784649038,-0.3630265811026675,U56,GROSS,1.35,0.75,0,31.81369262075645
0.218531179006751,1.0360853249411557,-0.2581034625219102,1.0144577492222204,1.0612718596873814,0.19528822919762345,1.015825592240117,-0.17383874543618105,0.23805236009934405,1.055398036504335,-0.25810346252191063,U56,COUNT,3,5,0,20.75049066008024
0.16520616497465235,0.9503303963383655,-0.21579779850239678,0.8991069960523866,0.9996213026177087,0.14223933116250675,0.8949508934883168,-0.18250415115475327,0.18450685681430068,0.9938232266964572,-0.21579779850239666,U56,COUNT,5,5,1,17.62247232499748
0.1378550066198312,0.9298866688734041,-0.17918485312461208,0.9175743837545485,0.9456791833374805,0.11918333248426127,0.8733731286166083,-0.17918485312461208,0.15349812423115838,0.9740079142392548,-0.16554289281426326,U56,COUNT,8,5,0,14.95941460325253
0.12826192382512347,0.926678454222595,-0.17538190355779526,0.9175665176313622,0.9400369438453602,0.1105925718593721,0.869493980018393,-0.1410893544899624,0.14305502309526497,0.9713041910854874,-0.17538190355779526,U56,COUNT,10,5,0,13.857050968019722
0.13221049719309286,1.0483280861106037,-0.19171827080007353,1.0724874244246054,1.0343023424741677,0.11520281342682726,0.9912583423302727,-0.1236567661614768,0.14644120880813638,1.0932587280529378,-0.1917182708000733,U56,COUNT,15,5,0,11.397815310517988
0.1285810585333893,1.107524106116132,-0.18207063572861182,1.1098606510003914,1.1116812389018036,0.10915564078622952,1.0163842999145696,-0.11638322019804193,0.14486778681551393,1.17749120356185,-0.18207063572861204,U56,COUNT,20,5,0,9.451966076017927
0.11210476516173062,1.1239693984911563,-0.16505184121040817,1.0653301799410044,1.17958818246391,0.0897572954650725,0.955483943345508,-0.1204922334470997,0.1308916767614221,1.2540292728816564,-0.16505184121040783,U56,COUNT,30,5,0,6.839313920950329
0.09584307144614579,1.1297849922092602,-0.13928307660542205,1.0825073205215223,1.1750931847897312,0.07697523168929377,0.9525649632843302,-0.10447135790884321,0.11166239246358223,1.26823936496371,-0.13928307660542183,U56,COUNT,40,5,0,4.911180438309702
0.06514683521200815,1.1281161086140845,-0.09853361672030625,1.0892727353321678,1.1660056899653097,0.05287686501368638,0.9595708908195701,-0.07518591029627952,0.07538020723902394,1.25924050590128,-0.09853361672030603,U56,COUNT,60,5,0,2.929773078330753
0.1400150136048477,0.8388891952044054,-0.21810440120315033,0.8299955017815677,0.8509453116392549,0.12474331975824948,0.8071410481214769,-0.17669596419192146,0.15277397524276415,0.8646985075202163,-0.21810440120315122,U56,CADENCE,D,W,0,42.14578870059782
0.15336460496196946,0.9002576637321581,-0.23466479169618804,0.8978665979396004,0.9074352956766314,0.13980682735804129,0.8865583906931526,-0.16765084222905968,0.16467448907377724,0.9133886870227574,-0.23466479169618826,U56,CADENCE,2D,W,0,27.784834911413665
0.16520616497465235,0.9503303963383655,-0.21579779850239678,0.8991069960523866,0.9996213026177087,0.14223933116250675,0.8949508934883168,-0.18250415115475327,0.18450685681430068,0.9938232266964572,-0.21579779850239666,U56,CADENCE,W,W,1,17.62247232499748
0.1778608067582821,1.0100763941650897,-0.21097801421089346,0.9338590171698644,1.0810078469304838,0.14991634352119676,0.938398779042709,-0.1892164994425639,0.20143261129261703,1.0655643355003188,-0.21097801421089246,U56,CADENCE,2W,W,0,11.41125881089216
0.18681342021815728,1.0113809629930508,-0.2724238648323185,1.2528474544325963,0.8232606028106175,0.22378982221778565,1.2798778697840762,-0.16749762829619153,0.1571416900769178,0.8299649006919714,-0.2724238648323183,U56,CADENCE,M,W,0,7.722520470587838
0.22256664351125632,1.1679158679253556,-0.21053149526542025,1.1609763209752315,1.1844539746846952,0.20848144861776352,1.2090221539939179,-0.2015267998695598,0.23431396120926395,1.146918030560603,-0.21053149526542025,U56,CADENCE,6W,W,0,6.352151121469626
