cell_key,n_cells,m_min,m_max,form,k,draw,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,full_Sharpe,full_CAGR,full_MaxDD,H1,H2,OOS_rank,f4a,f4b
k,3,50,50,PUBLISHED,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k,3,50,50,K2,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k,3,50,50,K5,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k,3,50,50,K10,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k,3,50,50,LOO,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k x sd_IS tercile,9,7,27,PUBLISHED,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
k x sd_IS tercile,9,7,27,K2,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
k x sd_IS tercile,9,7,27,K5,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
k x sd_IS tercile,9,7,27,K10,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
k x sd_IS tercile,9,7,27,LOO,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
sd_IS tercile,3,50,50,PUBLISHED,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
sd_IS tercile,3,50,50,K2,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
sd_IS tercile,3,50,50,K5,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
sd_IS tercile,3,50,50,K10,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
sd_IS tercile,3,50,50,LOO,20,48,1.2031935181254685,0.9794243055236008,0.0693564615066586,-0.1157043118388368,1.0783299415473415,0.0755670787335267,-0.1157043118388367,1.3359352584002568,0.8473443419713758,71,H2,CAGR
none (incumbent),1,150,150,RAW IS-Sharpe argmax,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,0.0930856342915673,-0.1053982831335272,1.4532475350128788,0.9605096506306864,19,H2,CAGR
