sel,cells_with_pick,mean_admitted,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,beats_SPY,beats_v2,beats_ctl,mean_oos_rank
S0,12,136.0,1.108869407779302,0.14351932691261163,-0.2075710112862935,12,6,6,48.75
S3,12,27.0,1.2325770327889802,0.09149206170063777,-0.14261274502132568,12,8,11,15.916666666666666
S5,9,2.0833333333333335,1.260374219757689,0.07975206592567985,-0.12360985135252307,9,8,8,12.666666666666666
S8,12,12.666666666666666,1.218370269676563,0.08742221811763624,-0.13987960518235037,12,8,11,19.5
S9,8,1.75,1.2790625782778657,0.08086249527309711,-0.1251716302095884,8,8,8,4.5
S6,12,11.25,1.1153305727642087,0.13399119250930724,-0.1946017011222547,11,6,6,49.5
S10,12,35.25,1.1099895897726668,0.1355933409464688,-0.198203274886685,11,6,6,50.25
