book,family,parent,cadence,n_names,turnover,rebalances_per_year,block_bars,persistence,episodes,per_year,mean_len,median_len,frac_ge2
SMALL439,SMALL,SMALL,D,439,43.946290161618755,252.0,1.0,9.035247890904888,8653,554.2846975088968,9.035247890904888,3.0,0.6677452906506414
SMALL439,SMALL,SMALL,2D,439,30.976932076695153,126.0,2.0,6.3748573292026744,6133,392.8612099644128,12.749714658405349,6.0,1.0
SMALL439,SMALL,SMALL,W,439,20.19590102343125,52.270462633451956,4.821078431372549,4.000239330146529,4053,259.62277580071174,19.285467554897608,10.0,1.0
SMALL439,SMALL,SMALL,2W,439,14.435473037074674,26.135231316725978,9.642156862745098,2.7715089677350706,2924,187.30249110320284,26.723324213406293,19.0,1.0
SMALL439,SMALL,SMALL,M,439,9.571408459153368,12.042704626334519,20.925531914893618,1.8960158321506688,1967,126.0,39.6751398068124,23.0,1.0
SMALL439,SMALL,SMALL,6W,439,7.77085536766646,8.711743772241993,28.926470588235293,1.6798810744426789,1607,102.93950177935943,48.59303049159925,30.0,1.0
SMALL439,SMALL,SMALL,Q,439,4.507268275952352,3.9715302491103204,63.45161290322581,1.2715041049545592,947,60.661921708185055,80.67898627243929,63.0,1.0
U56,U56,U56,D,55,22.33693149055698,252.00000000000003,1.0,17.175314146736927,4934,280.10092363144855,17.175314146736927,3.0,0.6708552898256992
U56,U56,U56,2D,55,15.13093103169893,126.0283847713449,1.9995495495495494,12.663742543833406,3347,190.00765938274387,25.32178069913355,6.0,0.9994024499551838
U56,U56,U56,W,55,9.451966076017927,52.2279792746114,4.825,8.35822218719833,2104,119.44311781932869,40.32842205323194,14.0,1.0
U56,U56,U56,2W,55,6.484629597998986,26.1139896373057,9.65,6.065098246039155,1454,82.54291507096194,58.52819807427785,29.0,1.0
U56,U56,U56,M,55,4.276820413281573,12.03514305023654,20.93867924528302,4.177195105241033,970,55.06645640910115,87.46494845360824,61.0,1.0
U56,U56,U56,6W,55,3.60130096775142,8.685740031538636,29.013071895424837,3.561431495988418,823,46.721333633701285,103.3280680437424,59.0,1.0
U56,U56,U56,Q,55,2.4104291038119667,3.97386798828565,63.41428571428571,2.3150528124868157,566,32.13156116242397,146.80742049469964,124.0,1.0
ETF36,ETF,U56,D,35,15.736863519634522,252.00000000000003,1.0,22.91592539454806,3485,197.84185627393558,22.91592539454806,3.0,0.6797704447632712
ETF36,ETF,U56,2D,35,10.57052854720016,126.0283847713449,1.9995495495495494,17.028568738709186,2345,133.12457760756928,34.04946695095949,6.0,0.9995735607675906
ETF36,ETF,U56,W,35,6.536887470598439,52.2279792746114,4.825,11.323017957271631,1460,82.88353232710071,54.63356164383562,15.0,1.0
ETF36,ETF,U56,2W,35,4.3320227894003125,26.1139896373057,9.65,8.507410283963358,974,55.293534579860335,82.0965092402464,38.0,1.0
ETF36,ETF,U56,M,35,2.913699849475918,12.03514305023654,20.93867924528302,5.712778906039598,665,37.75174588871368,119.61804511278196,64.0,1.0
ETF36,ETF,U56,6W,35,2.3943549184853463,8.685740031538636,29.013071895424837,4.982609186271331,551,31.280018022077048,144.56079854809437,87.0,1.0
ETF36,ETF,U56,Q,35,1.7002346899898195,3.97386798828565,63.41428571428571,3.055373726114739,403,22.878125703987386,193.75434243176178,127.0,1.0
SMALLk20d00,SMALL,SMALL,D,20,5.520400688314405,252.0,1.0,19.9375,1024,65.59430604982207,19.9375,4.0,0.748046875
SMALLk20d00,SMALL,SMALL,2D,20,4.049549181947417,126.0,2.0,13.39238845144357,762,48.811387900355875,26.78477690288714,8.0,1.0
SMALLk20d00,SMALL,SMALL,W,20,2.783562239173599,52.270462633451956,4.821078431372549,7.850824855468388,538,34.462633451957295,37.84944237918216,15.0,1.0
SMALLk20d00,SMALL,SMALL,2W,20,2.0359687809881266,26.135231316725978,9.642156862745098,5.322627371734115,398,25.494661921708186,51.321608040201006,28.0,1.0
SMALLk20d00,SMALL,SMALL,M,20,1.4548390497011203,12.042704626334519,20.925531914893618,3.43713487069519,289,18.512455516014235,71.92387543252595,42.0,1.0
SMALLk20d00,SMALL,SMALL,6W,20,1.1340747075315922,8.711743772241993,28.926470588235293,2.9736540361858106,231,14.797153024911033,86.01731601731602,58.0,1.0
SMALLk20d00,SMALL,SMALL,Q,20,0.7161721997665661,3.9715302491103204,63.45161290322581,2.3064660863987334,149,9.544483985765124,146.3489932885906,124.0,1.0
SMALLk20d01,SMALL,SMALL,D,20,6.073839547063533,252.0,1.0,22.620938628158846,1108,70.97508896797153,22.620938628158846,5.0,0.7436823104693141
SMALLk20d01,SMALL,SMALL,2D,20,4.575801842925512,126.0,2.0,14.741480611045828,851,54.512455516014235,29.482961222091657,8.0,1.0
