panel,family,R2_CAGR,sdres_CAGR,slope_CAGR,R2_MaxDD,sdres_MaxDD,slope_MaxDD
B136,BAND,0.0780649123390158,0.0009396249999702382,0.26608039191167077,0.2913461538461538,2.1312234000317418e-16,1.3321146796618082e-13
B136,MADIST,0.891157007176335,0.00519647026199413,0.25989220334435065,0.5169852088863743,0.003883646832235847,-0.07022738585450285
B136,MAXVOL,0.8656978839024397,0.010830635950218355,2.343998504517206,0.06006108768452534,0.01942500841809754,-0.41857146623525293
B136,SPYFILT,0.8800143231563482,0.001936963142608855,0.3413379759037792,0.1269784392208494,0.012897802779086783,-0.3200746828355656
B136,STOP,0.9611559459513428,0.005355679048346078,0.2765372727724762,0.38023817903719126,0.023249031595380523,-0.18902741610242355
B136,VOLTGT,0.9746590504850217,0.0031199911580399773,0.2289057222101723,0.9824758391079077,0.002751907086508767,-0.24376113209228345
SMALL,BAND,0.6589477317718198,0.0012488791922878148,4.961859818522441,0.28834883010067036,0.007919647906387446,14.409218770920896
SMALL,MADIST,0.35041483832464715,0.0022620121388936794,-0.23666720159239646,0.36577952016104376,0.00735709486482476,0.7959134911832592
SMALL,MAXVOL,0.250475599529838,0.025336531657499464,1.5028845370384758,0.09029444913791218,0.029985566235041738,0.969350829466711
SMALL,SPYFILT,0.5114776208632702,0.002645034395681242,0.176120048405146,0.42582103385648173,0.01964738818145337,1.1010350061218355
SMALL,STOP,0.4493304576962339,0.007247645541869584,0.04984885579477928,0.1565636790208138,0.030884385904193526,-0.10131626652430943
SMALL,VOLTGT,0.7511690853230062,0.0037419908307102846,0.05685084183587991,0.9877743174630748,0.005189749769333788,-0.40790236390648615
U56,BAND,0.19229960776680655,0.002134053579672727,0.27480975861278556,0.21807579021827372,0.0030950952041988926,0.4313781951843664
U56,MADIST,0.9956505854972495,0.0017206097329345831,0.16959837217648638,0.8585722273804208,0.01051108730666938,-0.16872130945545452
U56,MAXVOL,0.9740524198901468,0.0032400989685778844,0.9497847852398229,0.9174485507091552,0.009393985729861764,-1.498313190108167
U56,SPYFILT,0.9789652519021199,0.0009171946510194134,0.38958834130820175,0.44280015488804214,0.005711005267329021,-0.31698623757337646
U56,STOP,0.9900847680930372,0.002705243579963082,0.2719479018226814,0.17884973583530706,0.01584675027470576,-0.07439909162047154
U56,VOLTGT,0.9665370415501742,0.0023516286287782887,0.22061530782415725,0.9356233279541544,0.005113540411010389,-0.34028889208237595
