CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,panel,gross,phi,p4a,p4b_full,p4b_oos,p4b,bind,cagr_gap
0.08925313931875278,1.243284716824994,-0.11761540970560513,1.2608945725006588,1.2316018008180882,0.09855323426734608,1.3258103199723021,-0.11761540970560491,U56,0.75,0.5,True,False,False,False,CAGR-alone,-0.016718288581636154
0.09231137351178909,1.2819432912570583,-0.11467643683752882,1.2925275649688464,1.2773904143043207,0.10253969660022255,1.3695377654760768,-0.11467643683752915,U56,0.75,1.0,True,False,False,False,CAGR-alone,-0.013660054388599852
0.10036893426800142,1.2317212389771486,-0.13374235015722413,1.252063312943845,1.2174164251503112,0.11069354509930895,1.312176689044849,-0.13374235015722458,U56,0.85,0.5,False,False,True,False,CAGR-alone,-0.005602493632387517
0.10290903763272241,1.2601588539242945,-0.1314102388448064,1.275213582446503,1.2511780671258772,0.11399317574509071,1.3444817601889356,-0.13141023884480696,U56,0.85,1.0,False,False,True,False,CAGR-alone,-0.003062390267666526
0.11706551543826538,1.2184672650826742,-0.15766011621009834,1.2420851280176608,1.201045632818016,0.12895112375494988,1.296419420896225,-0.15766011621009834,U56,1.0,0.5,False,True,True,True,PASS,0.01109408753787644
0.1188044478171657,1.234808802223447,-0.15620938391631822,1.2554116095434056,1.2204135118475636,0.13118898556873826,1.3149758818321828,-0.15620938391631833,U56,1.0,1.0,False,True,True,True,PASS,0.012833019916776767
0.0827263884405347,1.140694736433881,-0.11933893347877234,1.2609850571421803,1.023226662768461,0.08264362649058721,1.1557510819915309,-0.11933893347877256,B136,0.75,0.5,True,False,False,False,CAGR-alone,-0.023133816619512235
0.08585902849642113,1.181143630543555,-0.11626186592728571,1.291064694515114,1.0750669344145836,0.08681157871470857,1.2049617864164635,-0.11626186592728616,B136,0.75,1.0,True,False,False,False,CAGR-alone,-0.020001176563625808
0.09289134577036595,1.129088160221383,-0.135695015132823,1.2525297392072285,1.0082960130871903,0.0924977110016365,1.1413460718407564,-0.1356950151328229,B136,0.85,0.5,False,False,False,False,CAGR-alone,-0.012968859289680987
0.09551907553481143,1.1590630610866042,-0.13320958280731754,1.2741813598900416,1.0473057297877286,0.09601574310253858,1.1783891452073172,-0.13320958280731754,B136,0.85,1.0,False,False,False,False,CAGR-alone,-0.010341129525235512
0.1081254162376637,1.1158292349600567,-0.15995718693432437,1.243070509664942,0.9910766296499309,0.10725347287869802,1.1246912164970089,-0.15995718693432404,B136,1.0,0.5,False,True,True,True,PASS,0.0022652111776167577
0.1099734251207185,1.133508405088375,-0.15833242764576516,1.2550260827673814,1.0148690770173625,0.10977111913208604,1.1472016512983771,-0.1583324276457655,B136,1.0,1.0,False,True,True,True,PASS,0.004113220060671566
