panel,book,family,turns_yr,avg_names,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,is_CAGR,is_Sharpe,is_MaxDD,N,H,K,WINDOW,STAT,n_repick,n_setchange,switch_bill_pp_yr,n_distinct_cells,pass_4a,fail_4a,pass_4b,fail_4b
U56,CELL N=5 H=21,CELL,7.693920764521659,4.9978354978354975,0.15336446366881828,0.856695182028016,-0.2544826755531231,0.16136742870882936,1.0118473787342537,-0.16548287896813696,0.1454166469374718,0.7515117817709054,-0.25448267555312354,0.1561078226261834,0.8186258181768821,-0.2544826755531234,0.1489452380411429,0.9512337442900236,-0.16548287896813696,5.0,21.0,,,,,,,,False,"H1,H2,DD",False,"H2,OOS,DD"
U56,CELL N=5 H=63,CELL,4.4593360709323315,5.0,0.18806481688107168,0.9908257756075078,-0.26264611203990484,0.20048649812071417,1.191950195718822,-0.19385427683587164,0.1757716653375656,0.8545746133833725,-0.26264611203990473,0.17948027388265664,0.8995522807300019,-0.2626461120399052,0.2020687784475954,1.1915944173370785,-0.19385427683587164,5.0,63.0,,,,,,,,False,"H2,DD",False,DD
U56,CELL N=5 H=126,CELL,2.9939047574190787,5.0,0.17875053031608235,0.9760647241216789,-0.2585359503365696,0.1982722006694031,1.168472806494046,-0.24238280544386515,0.1595468975615404,0.8276610689844246,-0.2585359503365695,0.17190400059573574,0.9060838087852842,-0.2585359503365693,0.18989843622609914,1.114918870388012,-0.24238280544386515,5.0,126.0,,,,,,,,False,"H1,H2,DD",False,"H2,DD"
U56,CELL N=5 H=252,CELL,2.0099348367560768,5.0,0.19199857277259436,1.0832811116726833,-0.30642337194688574,0.17256906316537868,1.0675768064244844,-0.30642337194688574,0.2117500300206232,1.1035026274257902,-0.21644204201604922,0.21911455550731884,1.158242660153274,-0.26438035822161177,0.1494508882871297,0.9506660941183033,-0.30642337194688574,5.0,252.0,,,,,,,,False,"H1,H2,DD",False,DD
U56,CELL N=10 H=21,CELL,7.3280856087711665,9.953463203463203,0.16993224454756217,1.1248476086443073,-0.20077494903422866,0.16518131935389668,1.2013482784778058,-0.140019694296173,0.17470254122429307,1.0705634144723444,-0.20077494903422888,0.18009103185213426,1.1248788899523783,-0.20077494903422866,0.1537012232572046,1.135331037287547,-0.140019694296173,10.0,21.0,,,,,,,,False,"H2,DD",True,-
U56,CELL N=10 H=63,CELL,4.163371101794764,9.980519480519481,0.19530884770855583,1.1778693852008404,-0.27687074569492676,0.1826852703205497,1.2701657070041907,-0.16075988758304083,0.20806716483676935,1.125715634447511,-0.27687074569492676,0.21779849890957048,1.2060183430520985,-0.27687074569492676,0.15984241529880716,1.1438656652656287,-0.16075988758304083,10.0,63.0,,,,,,,,False,"H2,DD",False,DD
U56,CELL N=10 H=126,CELL,2.9096218434805983,9.968614718614718,0.16703078887425837,1.0774994986773077,-0.2077105551919084,0.1684535468292574,1.1544232805784467,-0.18713951068128554,0.16560976332890842,1.0146435569923875,-0.20771055519190806,0.17684943562424693,1.0955268531557567,-0.20771055519190784,0.15133773453303356,1.0490337301758799,-0.18713951068128554,10.0,126.0,,,,,,,,False,"H1,H2,DD",False,DD
U56,CELL N=10 H=252,CELL,2.019258754622064,9.991341991341992,0.1638193919688129,1.0771819619055953,-0.23298952851465982,0.14513552806283636,1.0486836144180345,-0.19655620255532225,0.18280809906749673,1.1082586806032542,-0.17082924106327213,0.1843252712571981,1.1369779691776092,-0.23298952851465982,0.1314317851286233,0.9729791216580874,-0.19655620255532225,10.0,252.0,,,,,,,,False,"H1,H2,DD",False,DD
U56,CELL N=15 H=21,CELL,6.299439022431168,14.787878787878787,0.14805506925836864,1.0961441760274453,-0.19914866750180316,0.13796023169146854,1.1517553335867359,-0.12090498847556486,0.15823945806147544,1.0643447363316143,-0.19914866750180316,0.16233563052796351,1.1160851796146034,-0.19914866750180327,0.12534907803877782,1.0730911013691469,-0.12090498847556486,15.0,21.0,,,,,,,,False,"H1,H2,DD",True,-
U56,CELL N=15 H=63,CELL,3.9990603135385787,14.895021645021645,0.16252129099232615,1.115734513404574,-0.25977002644153235,0.15025784021814914,1.1814321397038174,-0.1424058711616134,0.17491548829969994,1.0805119995539738,-0.2597700264415326,0.18024065628370733,1.1454444844411453,-0.25977002644153235,0.13444918786991655,1.0740235981939736,-0.1424058711616134,15.0,63.0,,,,,,,,False,"H1,H2,DD",False,DD
