panel,d,n,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b,first_fail,m_H1,m_H2,m_OOS,m_DD,m_CAGR
U56,0,10,0.130108,0.938533,-0.175382,0.929745,0.951694,0.872663,0.146185,0.989482,-0.175382,False,False,H1,-0.026875,0.117679,0.107471,0.026922,0.023512
U56,0,20,0.127395,1.097572,-0.181492,1.096518,1.104459,1.00528,0.143602,1.168387,-0.181492,False,True,-,0.139898,0.270443,0.286376,0.020811,0.020799
U56,0,30,0.111844,1.121365,-0.165052,1.063127,1.176618,0.95314,0.130583,1.251249,-0.165052,False,True,-,0.106507,0.342602,0.369238,0.037252,0.005247
