N,blocks,tau,cells,unstable,unstable_frac,mean_adm_share,flip_prob
10,48,0.8,32,4,0.125,0.7526041666666666,0.007541232638888891
10,48,0.9,32,3,0.09375,0.7434895833333333,0.01383463541666667
10,48,0.95,32,4,0.125,0.716796875,0.041965060763888895
10,48,1.0,32,4,0.125,0.716796875,0.041965060763888895
20,24,0.8,32,1,0.03125,0.7486979166666667,0.0024956597222222203
20,24,0.9,32,2,0.0625,0.7421875,0.013454861111111112
20,24,0.95,32,3,0.09375,0.7330729166666666,0.026801215277777783
20,24,1.0,32,4,0.125,0.6953125,0.042751736111111105
40,12,0.8,32,0,0.0,0.75,0.0
40,12,0.9,32,2,0.0625,0.7447916666666666,0.009548611111111115
40,12,0.95,32,2,0.0625,0.7265625,0.029079861111111112
40,12,1.0,32,3,0.09375,0.6692708333333334,0.024739583333333332
80,6,0.8,32,0,0.0,0.75,0.0
80,6,0.9,32,0,0.0,0.75,0.0
80,6,0.95,32,2,0.0625,0.71875,0.03125
80,6,1.0,32,2,0.0625,0.65625,0.017361111111111112
