panel,N,D,target,stat,base_K,base_rate,n_top,top_k,top_rate,lift,hyper_p,rho_oos_sharpe,rho_oos_cagr
U56,20,24,4b OOS,IS_SHARPE,5,0.20833333333333334,3,1,0.3333333333333333,0.12499999999999997,0.5212450592885376,0.5165217391304348,0.737391304347826
U56,20,24,4b OOS,IS_LEGS,5,0.20833333333333334,3,2,0.6666666666666666,0.45833333333333326,0.09881422924901186,0.4294045030972557,0.5777089928802808
U56,20,24,4b OOS,IS_CAGRSLACK,5,0.20833333333333334,3,1,0.3333333333333333,0.12499999999999997,0.5212450592885376,0.35478260869565215,0.6895652173913043
U56,20,24,4b OOS,IS_MINMARG,5,0.20833333333333334,3,1,0.3333333333333333,0.12499999999999997,0.5212450592885376,0.35478260869565215,0.6895652173913043
U56,20,24,4b BOTH,IS_SHARPE,1,0.041666666666666664,3,1,0.3333333333333333,0.29166666666666663,0.125,0.5165217391304348,0.737391304347826
U56,20,24,4b BOTH,IS_LEGS,1,0.041666666666666664,3,1,0.3333333333333333,0.29166666666666663,0.125,0.4294045030972557,0.5777089928802808
U56,20,24,4b BOTH,IS_CAGRSLACK,1,0.041666666666666664,3,1,0.3333333333333333,0.29166666666666663,0.125,0.35478260869565215,0.6895652173913043
U56,20,24,4b BOTH,IS_MINMARG,1,0.041666666666666664,3,1,0.3333333333333333,0.29166666666666663,0.125,0.35478260869565215,0.6895652173913043
U56,20,96,4b OOS,IS_SHARPE,25,0.2604166666666667,10,7,0.7,0.43958333333333327,0.0026871134733431326,0.49675800325556163,0.5662642430819317
U56,20,96,4b OOS,IS_LEGS,25,0.2604166666666667,10,7,0.7,0.43958333333333327,0.0026871134733431326,0.39453478346483367,0.4583082912082495
U56,20,96,4b OOS,IS_CAGRSLACK,25,0.2604166666666667,10,8,0.8,0.5395833333333333,0.00025142308071756335,0.5022788931090614,0.6929462832338579
U56,20,96,4b OOS,IS_MINMARG,25,0.2604166666666667,10,8,0.8,0.5395833333333333,0.00025142308071756335,0.5022788931090614,0.6929462832338579
U56,20,96,4b BOTH,IS_SHARPE,10,0.10416666666666667,10,7,0.7,0.5958333333333333,1.1033880449332051e-06,0.49675800325556163,0.5662642430819317
U56,20,96,4b BOTH,IS_LEGS,10,0.10416666666666667,10,5,0.5,0.3958333333333333,0.0008186773934639337,0.39453478346483367,0.4583082912082495
U56,20,96,4b BOTH,IS_CAGRSLACK,10,0.10416666666666667,10,6,0.6,0.4958333333333333,4.063791441915954e-05,0.5022788931090614,0.6929462832338579
U56,20,96,4b BOTH,IS_MINMARG,10,0.10416666666666667,10,6,0.6,0.4958333333333333,4.063791441915954e-05,0.5022788931090614,0.6929462832338579
U56,20,240,4b OOS,IS_SHARPE,56,0.23333333333333334,24,11,0.4583333333333333,0.22499999999999998,0.008959263787079511,0.4372671400545148,0.5068265074046424
U56,20,240,4b OOS,IS_LEGS,56,0.23333333333333334,24,13,0.5416666666666666,0.3083333333333333,0.000537001025120656,0.3489926734029763,0.4095174773748981
U56,20,240,4b OOS,IS_CAGRSLACK,56,0.23333333333333334,24,15,0.625,0.39166666666666666,1.5549912077780143e-05,0.4073134950259552,0.6352115488116112
U56,20,240,4b OOS,IS_MINMARG,56,0.23333333333333334,24,15,0.625,0.39166666666666666,1.5549912077780143e-05,0.4074688796680497,0.6352219656591259
U56,20,240,4b BOTH,IS_SHARPE,21,0.0875,24,9,0.375,0.2875,2.9424449391806718e-05,0.4372671400545148,0.5068265074046424
U56,20,240,4b BOTH,IS_LEGS,21,0.0875,24,10,0.4166666666666667,0.3291666666666667,2.5306366802499315e-06,0.3489926734029763,0.4095174773748981
U56,20,240,4b BOTH,IS_CAGRSLACK,21,0.0875,24,12,0.5,0.4125,8.744699720334943e-09,0.4073134950259552,0.6352115488116112
U56,20,240,4b BOTH,IS_MINMARG,21,0.0875,24,12,0.5,0.4125,8.744699720334943e-09,0.4074688796680497,0.6352219656591259
U56,20,480,4b OOS,IS_SHARPE,105,0.21875,48,20,0.4166666666666667,0.19791666666666669,0.0008939843372963109,0.37735070464715553,0.4332818284801583
U56,20,480,4b OOS,IS_LEGS,105,0.21875,48,23,0.4791666666666667,0.2604166666666667,2.0751315624090345e-05,0.2729216569399316,0.32705858621139444
U56,20,480,4b OOS,IS_CAGRSLACK,105,0.21875,48,29,0.6041666666666666,0.38541666666666663,8.798572699299461e-10,0.3570387675293729,0.5897089397089397
