model,term,coef,se,t,lo95,hi95
M0,const,-0.011625042593278775,0.004488766959845142,-2.5898075567905687,-0.020557688843370607,-0.002692396343186944
M1,const,-0.006429977565432472,0.006250983689643396,-1.028634513330379,-0.01886943510782283,0.006009479976957886
M1,fam[cadence],-0.0010392310421062682,0.0076108434268889235,-0.1365461071547853,-0.016184809461615227,0.014106347377402689
M1,fam[gross],0.0008495056933533277,0.008228360533647793,0.1032411851521928,-0.01552493176860578,0.017223943155312435
M1,fam[n],-0.02518087325561659,0.008545566977655367,-2.9466591650921004,-0.042186551541150766,-0.00817519497008241
M1,fam[trim],-0.04729045113646901,0.018539669436341014,-2.5507709993885546,-0.08418439331478762,-0.010396508958150391
M2,const,0.005433602641010861,0.011826500339351018,0.45944298694443964,-0.018101133034297664,0.028968338316319387
M2,log2(arms),-0.007352680966688157,0.0062994006167517115,-1.16720326488452,-0.019888488194024063,0.00518312626064775
M3,const,0.0083448048433825,0.007725930725684743,1.0801035033410693,-0.007029797300730138,0.02371940698749514
M3,fam[cadence],-0.004248048623197779,0.005453627206188073,-0.7789400453293986,-0.015100766763512043,0.0066046695171164856
M3,fam[gross],-0.0009031714605491851,0.007013744757606826,-0.1287716464973496,-0.014860523528186769,0.013054180607088399
M3,fam[n],-0.02464515887883191,0.009406553988580969,-2.619998663564761,-0.043364201316108034,-0.005926116441555784
M3,fam[trim],-0.039809112064929715,0.016448075080180265,-2.4202900260893885,-0.07254078147448845,-0.00707744265537099
M3,log2(arms),-0.006254752002305273,0.0054543196893179395,-1.1467519981556906,-0.017108848184047974,0.004599344179437427
M0',const,-0.011968492875734007,0.00373674746725834,-3.2029172376787125,-0.019404620335578104,-0.00453236541588991
M1',const,-0.009211084485385806,0.004973042967763674,-1.8522028756023265,-0.019107439991235518,0.0006852710204639061
M1',fam[cadence],0.0017418758778471111,0.006597178964959926,0.26403344324882844,-0.011386510262423141,0.014870262018117364
M1',fam[gross],0.003630612613306657,0.0072925345516607265,0.4978533303595879,-0.010881531144498188,0.018142756371111502
M1',fam[n],-0.022399766335663256,0.007646175655836233,-2.929538548930116,-0.03761565589077736,-0.007183876780549152
M1',fam[trim],-0.009689848484371716,0.011513051300294407,-0.8416403463887918,-0.03260082057195759,0.013221123603214155
M2',const,0.001681786742189676,0.010290287515553106,0.16343437825694995,-0.018795885413761006,0.022159458898140357
M2',log2(arms),-0.0056636702438652665,0.0051902933851983085,-1.0912042583212993,-0.0159923540804099,0.004665013592679367
M3',const,0.003869448727343322,0.00812460773717613,0.47626283662135627,-0.012298520669637176,0.02003741812432382
M3',fam[cadence],-0.0014483092461269262,0.004909575684988995,-0.29499682641722486,-0.011218364859255025,0.008321746367001172
M3',fam[gross],0.0016856098762345235,0.006340885621081258,0.2658319321563619,-0.010932752509717179,0.014303972262186226
M3',fam[n],-0.022387907787146437,0.00801427456299567,-2.7935039673482343,-0.03833631416750782,-0.006439501406785054
M3',fam[trim],-0.004482000793968136,0.01132524961710046,-0.3957529366240704,-0.027019247531998053,0.018055245944061778
M3',log2(arms),-0.005348596112220189,0.004772535759995592,-1.1207032029080342,-0.014845942274611416,0.004148750050171039
L0,const,0.01396153605922892,0.007194929555468633,1.940468763674998,-0.0003563737561536589,0.0282794458746115
L1,const,0.012826674543884567,0.00545615839276125,2.3508618373143033,0.0019689193422896805,0.023684429745479456
L1,fam[cadence],-0.031205309497845023,0.01656028913936048,-1.884345691988932,-0.06416028488517238,0.0017496658894823325
L1,fam[gross],-0.012826674543884574,0.00545615839276125,-2.3508618373143046,-0.023684429745479463,-0.0019689193422896874
L1,fam[trim],-0.014939022588684658,0.0057444905470139555,-2.6005826742025215,-0.02637055877724243,-0.003507486400126887
L1,fam[volgate],0.037735782992505386,0.022663636420746668,1.6650365498257564,-0.007364853484780484,0.08283641946979126
L2,const,-0.00920997724934655,0.016287481346285333,-0.5654635639197253,-0.041622065128454365,0.023202110629761262
L2,log2(arms),0.010546678357232012,0.007710462934320302,1.3678398362162323,-0.00479714288206539,0.025890499596529414
L3,const,-0.009551390731092568,0.01859288980671657,-0.5137120065995435,-0.046551241446458544,0.027448459984273407
L3,fam[cadence],-0.025468264386544343,0.01700121399955383,-1.4980262225516787,-0.05930068024565646,0.008364151472567777
L3,fam[gross],-0.011217807150869001,0.005308742494517105,-2.1130818009076173,-0.02178220471495804,-0.000653409586779962
L3,fam[trim],-0.013330155195669081,0.005574701705008981,-2.391187170372124,-0.024423811588636955,-0.0022364988027012093
L3,fam[volgate],0.03934465038552094,0.02310262543159347,1.7030380595495462,-0.006629574223350067,0.08531887499439195
L3,log2(arms),0.009656438048347232,0.008250394931943324,1.1704213104950996,-0.0067618478662199825,0.026074723962914447
