H,scheme,cond,memo_set,n_pairs,nperm,delta_obs,within_lo,within_hi,p_within,outside_within,emean_obs,book_lo,book_hi,p_booklab,outside_booklab
756,DISJOINT,NONE,MEMO12,288,1000,-0.16202819228584708,-0.16202819228584708,0.031290339236846154,0.039,False,-0.11464418400370412,-0.18888745644600025,-0.13518685415139559,1.0,True
756,DISJOINT,NONE,MEMO12,288,10000,-0.16202819228584708,-0.16202819228584708,0.031290339236846154,0.0386,False,-0.11464418400370412,-0.1881738798374828,-0.13486889133004648,0.9983,True
756,DISJOINT,OTHER3,MEMO12,82,1000,-0.0035714285714285587,-0.10119047619047616,0.14285714285714285,1.0,False,-0.1304761904761905,-0.19295725108225106,0.1874786556036556,0.19,False
756,DISJOINT,OTHER3,MEMO12,82,10000,-0.0035714285714285587,-0.10119047619047616,0.1916666666666667,1.0,False,-0.1304761904761905,-0.18604117473435658,0.17658519721019686,0.1618,False
756,OVERLAP21,OTHER3,MEMO12,627,1000,-0.06277056277056275,0.005772005772005762,0.13617424242424228,0.56,True,-0.14561655855083921,-0.09756118811535398,-0.030105271100255206,0.0,True
756,OVERLAP21,OTHER3,MEMO12,627,10000,-0.06277056277056275,0.005772005772005762,0.12914862914862918,0.5414,True,-0.14561655855083921,-0.09644973224973553,-0.028732602044023416,0.0,True
756,OVERLAP21,NONE,MEMO12,1680,1000,-0.10672165545184864,-0.05905335869967693,0.02198274577901488,0.0,True,-0.08669047834627508,-0.1104260748240205,-0.10321338072478076,1.0,True
756,OVERLAP21,NONE,MEMO12,1680,10000,-0.10672165545184864,-0.05905335869967693,0.019599330941406312,0.0,True,-0.08669047834627508,-0.1103951638183825,-0.10308969246061678,1.0,True
756,CHAIN,NONE,MEMO12,564,1000,-0.11492272675829635,-0.08655357569508193,0.055292179620990145,0.002,True,-0.0983891800677158,-0.12599525792131264,-0.10323963080579751,0.996,True
756,CHAIN,NONE,MEMO12,564,10000,-0.11492272675829635,-0.08655357569508193,0.055292179620990145,0.0039,True,-0.0983891800677158,-0.1256941819300481,-0.1039572867544445,0.998,True
1260,DISJOINT,NONE,MEMO12,144,1000,-0.12764670296430725,-0.3018753781004234,-0.06957047791893523,0.891,False,0.048853615520282195,-0.17536871693121697,-0.06622113997114001,0.99,True
1260,DISJOINT,NONE,MEMO12,144,10000,-0.12764670296430725,-0.27283726557773746,-0.06957047791893523,0.8923,False,0.048853615520282195,-0.1789420244107744,-0.06695917508417515,0.9922,True
