claim_set,family,units,states_spread,share_states,sole_family
C_HEAD,NRM_NULLSD,153,41,0.2679738562091503,112
C_HEAD,NRM_POOLMEAN,85,12,0.1411764705882353,40
C_HEAD,NRM_TURNOVER,1087,118,0.10855565777368906,874
C_HEAD,NRM_GROSS,725,150,0.20689655172413793,502
C_HEAD,NRM_VOL20,142,18,0.1267605633802817,88
C_HEAD,NRM_D2,28,20,0.7142857142857143,17
C_HEAD,ANY,1912,294,0.15376569037656904,1633
C_MEMO,NRM_NULLSD,335,64,0.191044776119403,260
C_MEMO,NRM_POOLMEAN,194,19,0.0979381443298969,100
C_MEMO,NRM_TURNOVER,3734,299,0.08007498660953401,3146
C_MEMO,NRM_GROSS,1876,336,0.1791044776119403,1357
C_MEMO,NRM_VOL20,644,67,0.10403726708074534,419
C_MEMO,NRM_D2,60,39,0.65,46
C_MEMO,ANY,6047,668,0.11046800066148503,5328
C_SCRIPT,NRM_NULLSD,919,234,0.2546245919477693,755
C_SCRIPT,NRM_POOLMEAN,412,59,0.14320388349514562,234
C_SCRIPT,NRM_TURNOVER,10167,1069,0.10514409363627422,8803
C_SCRIPT,NRM_GROSS,4049,858,0.2119041738700914,2770
C_SCRIPT,NRM_VOL20,2690,221,0.08215613382899628,1908
C_SCRIPT,NRM_D2,143,85,0.5944055944055944,119
C_SCRIPT,ANY,16387,2067,0.12613657167266737,14589
C_ALL,NRM_NULLSD,928,242,0.2607758620689655,756
C_ALL,NRM_POOLMEAN,421,67,0.15914489311163896,234
C_ALL,NRM_TURNOVER,10181,1082,0.10627639721049013,8804
C_ALL,NRM_GROSS,4062,870,0.21418020679468242,2770
C_ALL,NRM_VOL20,2698,229,0.0848776871756857,1908
C_ALL,NRM_D2,145,87,0.6,119
C_ALL,ANY,16403,2080,0.12680607205998903,14591
