leg,phi,artefact_set,n,comply,share,recommit
ALL,1.0,CSV,684,67,0.097953216374269,617
ALL,1.0,CSVJSON,684,67,0.097953216374269,617
ALL,1.0,CSVJSONTXT,684,76,0.1111111111111111,608
ALL,1.0,NONCONSOLE,684,76,0.1111111111111111,608
ALL,1.0,ANY,684,413,0.6038011695906432,271
P90,0.9,CSV,684,154,0.22514619883040934,530
P90,0.9,CSVJSON,684,154,0.22514619883040934,530
P90,0.9,CSVJSONTXT,684,165,0.2412280701754386,519
P90,0.9,NONCONSOLE,684,165,0.2412280701754386,519
P90,0.9,ANY,684,589,0.8611111111111112,95
P75,0.75,CSV,684,313,0.45760233918128657,371
P75,0.75,CSVJSON,684,314,0.4590643274853801,370
P75,0.75,CSVJSONTXT,684,322,0.47076023391812866,362
P75,0.75,NONCONSOLE,684,322,0.47076023391812866,362
P75,0.75,ANY,684,636,0.9298245614035088,48
P50,0.5,CSV,684,536,0.783625730994152,148
P50,0.5,CSVJSON,684,537,0.7850877192982456,147
P50,0.5,CSVJSONTXT,684,542,0.7923976608187134,142
P50,0.5,NONCONSOLE,684,542,0.7923976608187134,142
P50,0.5,ANY,684,646,0.9444444444444444,38
HEAD,1.0,CSV,684,181,0.2646198830409357,503
HEAD,1.0,CSVJSON,684,181,0.2646198830409357,503
HEAD,1.0,CSVJSONTXT,684,189,0.27631578947368424,495
HEAD,1.0,NONCONSOLE,684,189,0.27631578947368424,495
HEAD,1.0,ANY,684,543,0.793859649122807,141
