panel,control,L_star,episode_bars,ratio,median_at_L1,observed,gap
U56,C_BOOK,126.0,18.0,7.0,22.406806920832537,19.12756183046503,-3.2792450903675068
U56,C_GATEOFF,63.0,58.0,1.0862068965517242,22.029257606180014,20.10683222103151,-1.9224253851485038
U56,C_NOREBAL,252.0,120.0,2.1,57.643215635608364,71.9447238308778,14.301508195269442
U56,C_SHUFFLE,21.0,148.0,0.14189189189189189,22.912170680938637,23.161189826322556,0.24901914538391878
U56,C_SPY,42.0,23.0,1.826086956521739,24.8072075757446,26.19715110967317,1.389943533928573
B136,C_BOOK,252.0,23.0,10.956521739130435,25.617164677397497,20.74030226784948,-4.876862409548018
B136,C_GATEOFF,126.0,23.0,5.478260869565218,26.942052109857155,22.30648993613683,-4.635562173720324
B136,C_NOREBAL,504.0,143.0,3.5244755244755246,45.49554000117705,60.003504311453824,14.507964310276776
B136,C_SHUFFLE,2.0,155.0,0.012903225806451613,25.34465050588584,25.71741913062771,0.37276862474186956
B136,C_SPY,42.0,23.0,1.826086956521739,25.077608848930197,26.196107494224975,1.1184986452947783
SMALL,C_BOOK,252.0,39.0,6.461538461538462,40.70569519144284,35.81405418032813,-4.891641011114714
SMALL,C_GATEOFF,504.0,23.0,21.91304347826087,41.25904662820237,33.14305676645737,-8.115989861745
SMALL,C_NOREBAL,3938.0,1439.0,2.736622654621265,51.78744749746886,38.93723162501094,-12.850215872457923
SMALL,C_SHUFFLE,3938.0,1006.0,3.914512922465209,40.654420460818315,46.78093364985628,6.126513189037965
SMALL,C_SPY,42.0,23.0,1.826086956521739,23.91054812784266,26.1971511096732,2.2866029818305407
