panel,ma,g_low,L,obs,se,t
U56,100,0.375,63,0.031245872985956158,0.0623277070449121,0.5013159390484396
U56,100,0.5625,63,0.028147930457325776,0.028875007325633317,0.9748198551048647
U56,100,0.675,63,0.013658091868829825,0.010868631862072197,1.2566523590233918
U56,150,0.375,63,0.04437143605484928,0.05587024116334989,0.7941873013420305
U56,150,0.5625,63,0.03318638177611821,0.02655088170218402,1.2499163737145635
U56,150,0.675,63,0.015430985149348375,0.010136209270050746,1.5223625260916818
U56,200,0.375,63,0.029445854305280017,0.05388287111727803,0.5464789402403973
U56,200,0.5625,63,0.025407632442432382,0.025930568069564633,0.9798332367524939
U56,200,0.675,63,0.01230908051395807,0.009983716237983048,1.2329157019836134
U56,250,0.375,63,0.021216096094375914,0.05468517069338472,0.38796799617455396
U56,250,0.5625,63,0.020806652544984372,0.026665922371057398,0.7802712486543294
U56,250,0.675,63,0.010442902506247131,0.010346701789411866,1.0092977181321405
B136,100,0.375,63,0.019738155437669436,0.0569091247346471,0.34683639099535407
B136,100,0.5625,63,0.021104847629727086,0.026635624832769864,0.7923541408257766
B136,100,0.675,63,0.010674025448290436,0.010103166151337998,1.0565030098883248
B136,150,0.375,63,0.02305507425636466,0.054054874481423834,0.4265124001774831
B136,150,0.5625,63,0.021775083812708207,0.02563823358245702,0.8493207514736048
B136,150,0.675,63,0.010799935363427826,0.009810407160511856,1.1008651513363226
B136,200,0.375,63,0.015226106949858709,0.05199616292183517,0.2928313570512467
B136,200,0.5625,63,0.0172679861357945,0.024849333060836552,0.6949074284415895
B136,200,0.675,63,0.00893477745009652,0.009564585655879799,0.9341520659187044
B136,250,0.375,63,0.004939010777402331,0.050330722160010104,0.0981311327443377
B136,250,0.5625,63,0.011473944448795903,0.02443069607666916,0.4696527848730965
B136,250,0.675,63,0.0065635729597988135,0.009488103074497644,0.6917687242922714
