PICK_SET,D_INC,D_BAR_19,D_BAR_22,D_MED_19,D_BAR_OTHERS,D_MED_OTHERS,SUBSTITUTION,ANCHOR,anchor_share,n_books,n_positive,n_positive_others,n_t_ge2,n_t_ge2_pos,n_t_le_neg2,rank_of_incumbent,p_rank,DELTA_min,DELTA_max,SIGN_CHANGES
P_1214,0.06847824456411071,0.06547835586546207,0.06588743159709597,0.06609514433846896,0.06531169538220381,0.06605330921710928,0.06547835586546207,0.002999888698648645,0.04380790888761888,19,18,17,3,3,0,5,0.2631578947368421,-0.18866687285971614,0.2409459362634772,1
P_AXIS,0.021102051945540466,0.018102163246891827,0.018511238978525732,0.01871895171989872,0.017935502763633572,0.018677116598539045,0.018102163246891827,0.002999888698648638,0.14216099488289857,19,16,15,3,3,0,5,0.2631578947368421,-0.23604306547828635,0.19356974364490698,3
P_TEXT,0.020377874127886293,-0.0012867903301378586,0.0016674820959563462,0.017663762143618974,-0.0024903828000280865,0.01738236752918737,-0.0012867903301378586,0.02166466445802415,1.0631464460945383,19,15,14,1,0,1,5,0.2631578947368421,-0.32917506687996895,0.11045738828667447,4
