tag,panel,key,value,note
D1,U56,OPEN:12-5,1.7170589916984662,NOT decisive
D1,U56,OPEN:12-20,3.8959394177338122,DECISIVE
D1,U56,OPEN:12-40,18.626883423926127,DECISIVE
D1,U56,ELIG:5-20,4.678446115050869,DECISIVE
D1,U56,ELIG:5-40,14.63914904872709,DECISIVE
D1,B136,OPEN:10-5,4.4992923203685695,DECISIVE
D1,B136,OPEN:10-20,8.053531351196458,DECISIVE
D1,B136,OPEN:10-40,16.718728163963963,DECISIVE
D1,B136,ELIG:10-5,0.8575534524011558,NOT decisive
D1,B136,ELIG:10-20,7.586567667518993,DECISIVE
D1,B136,ELIG:10-40,16.17473851815891,DECISIVE
D2,U56,OPEN_drier_total,101.0,
D2,U56,ELIG_drier_total,192.0,
D2,B136,OPEN_drier_total,65.0,
D2,B136,ELIG_drier_total,123.0,
D3,U56,OPEN_argmax_S10_S20_S40,12.0,5/12/12
D3,U56,ELIG_argmax_S10_S20_S40,5.0,5/5/5
D3,B136,OPEN_argmax_S10_S20_S40,10.0,10/10/10
D3,B136,ELIG_argmax_S10_S20_S40,10.0,5/5/10
D5,U56,GATE_raw_N5,-1.5608375494372106,DECISIVE; dDD -0.57 pp; matched GATE -1.436
D5,U56,GATE_raw_N8,-1.2026794089889714,DECISIVE; dDD -3.27 pp; matched GATE -0.305
D5,U56,GATE_raw_N10,-1.385189818720367,DECISIVE; dDD -1.89 pp; matched GATE -0.321
D5,U56,GATE_raw_N12,-1.2850272184594558,DECISIVE; dDD -1.49 pp; matched GATE -0.069
D5,U56,GATE_raw_N15,-1.4080129697391475,DECISIVE; dDD -2.30 pp; matched GATE -0.624
D5,U56,GATE_raw_N20,-1.579082130632914,DECISIVE; dDD -2.94 pp; matched GATE -0.027
D5,U56,GATE_raw_N25,-0.9434919075378745,DECISIVE; dDD -1.26 pp; matched GATE -0.546
D5,U56,GATE_raw_N30,-0.5595639938339558,DECISIVE; dDD -1.29 pp; matched GATE -0.360
D5,U56,GATE_raw_N40,-0.54130403227024,DECISIVE; dDD -0.90 pp; matched GATE -0.496
D5,U56,sign_agreement,9.0,of 9 rungs
D5,U56,GATE_raw_mean_pp,-1.162798781068904,
D5,B136,GATE_raw_N5,-1.7597253701621574,DECISIVE; dDD +2.26 pp; matched GATE -2.471
D5,B136,GATE_raw_N8,-1.8889577713278927,DECISIVE; dDD +0.05 pp; matched GATE -1.510
D5,B136,GATE_raw_N10,-0.8497290151008197,DECISIVE; dDD -0.35 pp; matched GATE -0.307
D5,B136,GATE_raw_N12,-1.7407171058410054,DECISIVE; dDD -2.21 pp; matched GATE -0.065
D5,B136,GATE_raw_N15,-1.0242483133600988,DECISIVE; dDD -2.14 pp; matched GATE +0.123
D5,B136,GATE_raw_N20,-1.7181157943834457,DECISIVE; dDD -2.41 pp; matched GATE -0.669
D5,B136,GATE_raw_N25,-1.7014499377889791,DECISIVE; dDD -0.78 pp; matched GATE -0.875
D5,B136,GATE_raw_N30,-1.6422721135055718,DECISIVE; dDD -2.35 pp; matched GATE -0.977
D5,B136,GATE_raw_N40,-1.4355414401589495,DECISIVE; dDD -1.58 pp; matched GATE -1.067
D5,B136,sign_agreement,8.0,of 9 rungs
D5,B136,GATE_raw_mean_pp,-1.5289729846254356,
D4,U56,GATE_mean_pp,-0.46492267344470317,
D4,U56,GATE_sd_across_rungs_pp,0.41548136676222003,
D4,U56,GATE_mean_share,-0.2336422372167314,
D4,B136,GATE_mean_pp,-0.8687431963643646,
D4,B136,GATE_sd_across_rungs_pp,0.7917917572834152,
D4,B136,GATE_mean_share,-0.22368332428731674,
