universe,grid,book,cost_bps,dropped,pick_full,pick_ex,dOOS_Sharpe,dOOS_CAGR,dOOS_MaxDD,d4b,d4b_oos
u56,sleeve,top20,10,2011,0.5,0.25,-0.053257160805505466,0.034787467044239406,-0.05061015333533958,0,0
u56,sleeve,top20,10,2014,0.5,0.25,-0.053257160805505466,0.034787467044239406,-0.05061015333533958,0,0
u56,sleeve,top20,25,2009,0.25,0.5,0.026053203641623668,-0.031835177381275725,0.05069968448489448,-1,0
u56,sleeve,top20,25,2011,0.25,0.0,-0.0363643758590928,0.027405397085557226,-0.04846248990314517,-1,-1
u56,sleeve,top20,25,2013,0.25,0.5,0.026053203641623668,-0.031835177381275725,0.05069968448489448,-1,0
u56,sleeve,ewall,10,2011,0.5,0.25,-0.06406916648645677,0.02430362537513009,-0.04233646247119671,1,0
u56,sleeve,ewall,10,2014,0.5,0.25,-0.06406916648645677,0.02430362537513009,-0.04233646247119671,1,0
u56,sleeve,ewall,25,2009,0.25,0.5,0.03261416520645333,-0.02314371496133627,0.042548948746593096,-1,-1
u56,sleeve,ewall,25,2011,0.25,0.0,-0.05224899663734606,0.019193448489141174,-0.04825655710344301,-1,-1
u56,sleeve,ewall,25,2012,0.25,0.5,0.03261416520645333,-0.02314371496133627,0.042548948746593096,-1,-1
u56,sleeve,ewall,25,2013,0.25,0.5,0.03261416520645333,-0.02314371496133627,0.042548948746593096,-1,-1
u56,band,top20,10,2009,0.08,0.05,0.01839527276669184,0.0027352860459737283,-0.0009919258154141852,0,0
u56,band,top20,10,2011,0.08,0.0,-0.04420431602138031,-0.008064374007933583,0.0006569077423497216,0,0
u56,breadth,top20,10,2009,0.25,0.0,-0.03237874512594452,-0.0015192985476275567,-2.220446049250313e-16,0,0
u56,breadth,top20,10,2010,0.25,0.5,0.02414825242965679,0.0010622977746512774,-1.1102230246251565e-16,0,0
u56,breadth,top20,10,2011,0.25,0.5,0.02414825242965679,0.0010622977746512774,-1.1102230246251565e-16,0,0
u56,breadth,top20,10,2012,0.25,0.5,0.02414825242965679,0.0010622977746512774,-1.1102230246251565e-16,0,0
u56,breadth,top20,10,2014,0.25,0.5,0.02414825242965679,0.0010622977746512774,-1.1102230246251565e-16,0,0
u56,breadth,top20,10,2015,0.25,0.75,0.04088059423193702,0.00194537163685915,0.0,0,0
u56,breadth,top20,25,2009,0.25,0.0,-0.035868489627961964,-0.002378821812909049,0.0,0,0
u56,breadth,top20,25,2010,0.25,0.5,0.02477014346370976,0.0014090712818219941,1.1102230246251565e-16,0,0
u56,breadth,top20,25,2011,0.25,0.5,0.02477014346370976,0.0014090712818219941,1.1102230246251565e-16,0,0
u56,breadth,top20,25,2015,0.25,0.5,0.02477014346370976,0.0014090712818219941,1.1102230246251565e-16,0,0
u56,breadth,ewall,10,2009,0.5,0.0,-0.08847027938225493,-0.0025345640466598596,2.220446049250313e-16,0,0
u56,breadth,ewall,10,2011,0.5,0.75,0.026597105474949867,0.0008457459365502906,1.1102230246251565e-16,0,0
