column,form,files,tokens,vocabularies,vocab_per_file,hapax,hapax_share,coining_files,coining_share,new_tokens_per_file,median_set_size,max_set_size
family,RAW,357,255,127,0.3557422969187675,70,0.27450980392156865,91,0.2549019607843137,0.7142857142857143,3.0,66
family,NORM,357,240,127,0.3557422969187675,69,0.2875,88,0.24649859943977592,0.6722689075630253,3.0,59
family,STEM,357,222,127,0.3557422969187675,61,0.2747747747747748,88,0.24649859943977592,0.6218487394957983,3.0,54
dial,RAW,265,380,83,0.3132075471698113,198,0.5210526315789473,48,0.1811320754716981,1.4339622641509433,6.0,166
dial,NORM,265,353,82,0.30943396226415093,183,0.5184135977337111,43,0.16226415094339622,1.3320754716981131,5.0,164
dial,STEM,265,258,63,0.23773584905660378,154,0.5968992248062015,33,0.12452830188679245,0.9735849056603774,5.0,156
panel,RAW,1671,3071,107,0.06403351286654697,123,0.04005210029306415,48,0.02872531418312388,1.8378216636744464,3.0,1080
panel,NORM,1671,3065,98,0.05864751645721125,123,0.04013050570962479,44,0.026331538001196888,1.834230999401556,3.0,1080
panel,STEM,1671,160,73,0.043686415320167565,20,0.125,37,0.022142429682824656,0.09575104727707959,3.0,58
