book,n,rows,published,unpriceable,fail_D1,fail_D2,fail_D3,fail_D3_only,fail_D1_only,admissible
TOP3,3,64,37,27,1,11,7,2,0,24
TOP5,5,64,26,38,0,4,0,0,0,22
V1u,5,64,41,23,5,17,24,6,1,16
TOP10,10,64,40,24,0,13,2,1,0,26
TOP20,20,64,49,15,0,22,0,0,0,27
TOP40,40,64,52,12,0,2,4,4,0,46
TOPALL,56,64,24,40,0,1,0,0,0,23
TOPALL,136,64,24,40,0,0,0,0,0,24
