leg,reading,n_IS,n_OOS,IS,OOS,gap,passes,book,rung,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,a_H1,a_H2,a_DD,pass_4a,b_H1,b_H2,b_OOS,b_DD,b_CAGR,pass_4b,b_OOSH1,b_OOSH2
R8_CENSUS,LOOSE,2.0,55.0,1.0,0.8363636363636363,0.1636363636363637,False,,,,,,,,,,,,,,,,,,,,,,,,
R8_CENSUS,STRICT,2.0,55.0,1.0,0.5636363636363636,0.4363636363636364,False,,,,,,,,,,,,,,,,,,,,,,,,
R8_CENSUS_MEDIANCUT,LOOSE,43.0,14.0,0.8372093023255814,0.8571428571428571,0.019933554817275656,True,,,,,,,,,,,,,,,,,,,,,,,,
R8_CENSUS_MEDIANCUT,STRICT,43.0,14.0,0.5581395348837209,0.6428571428571429,0.08471760797342198,True,,,,,,,,,,,,,,,,,,,,,,,,
R8_CLAIM,ALL,648.0,648.0,4.2231475199690856,0.000999000999000999,,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RULES v1,0.0,0.08950044514616406,0.8913109276869665,-0.13594416682779464,0.8881878319328834,0.8990926700743874,0.10316513640630864,0.9676884919307894,-0.13594416682779442,1.2469093658888473,0.6702879871700415,False,False,False,False,False,True,True,True,False,False,True,False
,,,,,,,,"LIVE RULES v2 (band 0.03, g 0.75)",0.0,0.08821007359904964,1.226867660750899,-0.12029813984958926,1.260103306735203,1.2005931078439158,0.09670513420063886,1.3027736471519475,-0.12029813984958881,1.4307860208009384,1.1626827784630136,False,False,True,False,True,True,True,True,False,False,True,True
,,,,,,,,"CAND 4b (band 0.03, g 1.00)",0.0,0.11807149229176672,1.2265478476861464,-0.15878996891212993,1.260478594957954,1.1997137514595855,0.12963207025425305,1.3019382221320985,-0.15878996891212982,1.4285406681911634,1.1633729612072436,True,False,False,False,True,True,True,True,True,True,True,True
,,,,,,,,SPY buy-and-hold,0.0,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,,,,False,,,,,,False,,
,,,,,,,,RULES v1,10.0,0.06408509216901082,0.6602204851445538,-0.1382781849962449,0.6510267957609289,0.6718468061831654,0.07601837386039301,0.7361139961542332,-0.13827818499624467,1.0292871237808776,0.4233912250202929,False,False,False,False,False,False,False,True,False,False,True,False
,,,,,,,,"LIVE RULES v2 (band 0.03, g 0.75)",10.0,0.08628162162824915,1.201840627126638,-0.12054943679771168,1.2348688605871752,1.1756786586445225,0.09474682024310721,1.278242466157066,-0.12054943679771168,1.4098248411053318,1.133995373728286,False,False,True,False,True,True,True,True,False,False,True,True
,,,,,,,,"CAND 4b (band 0.03, g 1.00)",10.0,0.11544485987825248,1.2016651077116542,-0.15910990262743974,1.2353972967586033,1.174935198833666,0.126956558390525,1.2775395947599435,-0.15910990262743996,1.4077348475933793,1.1347851685972874,True,False,False,False,True,True,True,True,True,True,True,True
,,,,,,,,SPY buy-and-hold,10.0,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,,,,False,,,,,,False,,
,,,,,,,,RULES v1,25.0,0.027040894310009556,0.31242213021803655,-0.15631713814220338,0.2939503626156236,0.3299383154707014,0.03651490433327487,0.387420191037363,-0.14177209888464415,0.7011961784531368,0.052125010951564604,False,False,False,False,False,False,False,True,False,False,False,False
,,,,,,,,"LIVE RULES v2 (band 0.03, g 0.75)",25.0,0.08339513295117529,1.1642615600830166,-0.12092632430399475,1.196975873192921,1.1382706520955166,0.09181569023107472,1.2414064385520391,-0.12092632430399464,1.3783517431026167,1.0909139501544998,False,False,True,False,True,True,True,True,False,False,True,True
,,,,,,,,"CAND 4b (band 0.03, g 1.00)",25.0,0.11151608279647607,1.164302861157589,-0.159589704540126,1.1977343088508556,1.1377314935622933,0.12295477798744381,1.2409028497988155,-0.15958970454012644,1.3764952707949825,1.0918534632263097,True,False,False,False,True,True,True,True,True,True,True,True
,,,,,,,,SPY buy-and-hold,25.0,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,,,,False,,,,,,False,,
