panel,family,k,gross,leg,window,B,conf,point,boot_mean,boot_sd,lo,hi,resolvable,frac_pass
U56,MADIST,40,1.0,L1_H1,H1,10,0.9,0.22633783392725315,0.22344208149240205,0.20081558649368003,-0.10191021637616358,0.5754888755095778,False,0.8765
U56,MADIST,40,1.0,L1_H1,H1,10,0.95,0.22633783392725315,0.22344208149240205,0.20081558649368003,-0.17633712243391564,0.6332890446493201,False,0.8765
U56,MADIST,40,1.0,L2_H2,H2,10,0.9,0.383420421305503,0.376142787406322,0.2000989520178565,0.05529865481989616,0.698242368223394,True,0.974
U56,MADIST,40,1.0,L2_H2,H2,10,0.95,0.383420421305503,0.376142787406322,0.2000989520178565,-0.0017270877537304953,0.7729000730809605,False,0.974
U56,MADIST,40,1.0,L3_OOS,OOS,10,0.9,0.4347960777692266,0.42215228200188243,0.19263714569963333,0.09977293888946659,0.7360592785589966,True,0.9845
U56,MADIST,40,1.0,L3_OOS,OOS,10,0.95,0.4347960777692266,0.42215228200188243,0.19263714569963333,0.046057386019220735,0.7981775617528196,True,0.9845
U56,MADIST,40,1.0,L4_DD_FULL,FULL,10,0.9,0.025563461051691105,-0.003438459232521132,0.044246651572292926,-0.07756340200955575,0.06855085836506214,False,0.473
U56,MADIST,40,1.0,L4_DD_FULL,FULL,10,0.95,0.025563461051691105,-0.003438459232521132,0.044246651572292926,-0.09465030380276614,0.08801197251757428,False,0.473
U56,MADIST,40,1.0,L5_CAGR_FULL,FULL,10,0.9,0.03975915556866161,0.04008553868114256,0.019114739232880113,0.009267943741385912,0.07115970183258197,True,0.9845
U56,MADIST,40,1.0,L5_CAGR_FULL,FULL,10,0.95,0.03975915556866161,0.04008553868114256,0.019114739232880113,0.002659633715339654,0.07674715831141891,True,0.9845
U56,MADIST,40,1.0,L4_DD_OOS,OOS,10,0.9,0.025563461051690772,0.003996884897472903,0.043067240021458515,-0.06447585158057087,0.0794718584662844,False,0.528
U56,MADIST,40,1.0,L4_DD_OOS,OOS,10,0.95,0.025563461051690772,0.003996884897472903,0.043067240021458515,-0.0773213026526618,0.09688332070408344,False,0.528
U56,MADIST,40,1.0,L5_CAGR_OOS,OOS,10,0.9,0.05536284975661668,0.05494105345245305,0.02645502224345445,0.010839668436786685,0.09783640956755782,True,0.979
U56,MADIST,40,1.0,L5_CAGR_OOS,OOS,10,0.95,0.05536284975661668,0.05494105345245305,0.02645502224345445,0.0015979535805499265,0.10662263338839607,True,0.979
