thresh,dsplit,panel,book,klass,n,d_abs_200d,abs_wins,m_none,m_200d,m_abs,m_both,m_band3
0.08,30,u56,top20,FAST,4,-0.0037827176525908057,2,-0.10375307474390602,-0.09766380628520935,-0.10144652393780015,-0.09818136285048035,-0.09636782076563569
0.08,30,u56,top20,SLOW,9,-0.0033658270386429656,4,-0.0986125979334904,-0.08242443618901701,-0.08579026322765998,-0.07798279454813906,-0.07897204133231964
0.08,30,u56,ew-all,FAST,4,-0.004810597712383541,2,-0.08079373636990989,-0.07218884560158945,-0.07699944331397299,-0.07186881307514711,-0.06757125444499876
0.08,30,u56,ew-all,SLOW,9,-0.003967947669817701,3,-0.10241503877787475,-0.08180613753068003,-0.08577408520049773,-0.07892337591799072,-0.07500753821357108
0.08,30,broad,top20,FAST,4,-0.010096161287091593,0,-0.11117732068575348,-0.10122504158121745,-0.11132120286830904,-0.10122504158121745,-0.09918225867706815
0.08,30,broad,top20,SLOW,9,-0.0003344635415376135,3,-0.10820259593357702,-0.09933241931309508,-0.0996668828546327,-0.09426110449519881,-0.10122986865152465
0.08,30,broad,ew-all,FAST,4,-0.005303037449047809,2,-0.08494775481397362,-0.07944929977550236,-0.08475233722455017,-0.08117028057979914,-0.07059964826514761
0.08,30,broad,ew-all,SLOW,9,-0.0007262742572340525,4,-0.10537664078612954,-0.09397185192364621,-0.09469812618088026,-0.0884049275799744,-0.09257974421794378
0.08,60,u56,top20,FAST,9,0.0008353270069388907,5,-0.09677058908565951,-0.08330987160118344,-0.08247454459424455,-0.07978854402864577,-0.08237239068290038
0.08,60,u56,top20,SLOW,4,-0.013235314255149982,1,-0.10789759465152554,-0.09567157660783487,-0.10890689086298486,-0.09411842651934024,-0.08871703472682901
0.08,60,u56,ew-all,FAST,9,0.0009542458836241108,4,-0.08658056933705863,-0.06795411560113497,-0.06699986971751086,-0.06042316955125198,-0.06536481510837583
0.08,60,u56,ew-all,SLOW,4,-0.015885533207627617,1,-0.11642129261174616,-0.10335589494306582,-0.11924142815069344,-0.11349427740030926,-0.08926738143168808
0.08,60,broad,top20,FAST,9,-0.004034694605724046,2,-0.10033025574303105,-0.08815263787659397,-0.09218733248231802,-0.08465876633304904,-0.08793171662053977
