panel,book,gross,cadence,n_phase,S_IS4B,S_FULL4B,S_ISLEG4
B136,BAND03,CORE,D,1,0.0,0.0,1.0
B136,BAND03,CORE,M,21,0.0,0.0,0.9047619047619048
B136,BAND03,CORE,Q,63,0.0,0.0,0.5396825396825397
B136,BAND03,CORE,W,5,0.0,0.0,1.0
B136,BAND03,EXT,D,1,0.0,0.0,1.0
B136,BAND03,EXT,M,21,0.8571428571428571,0.2857142857142857,0.9047619047619048
B136,BAND03,EXT,Q,63,0.49206349206349204,0.1111111111111111,0.6984126984126984
B136,BAND03,EXT,W,5,0.8,0.4,1.0
B136,EWELIG,CORE,D,1,0.0,0.0,0.0
B136,EWELIG,CORE,M,21,0.8571428571428571,0.14285714285714285,1.0
B136,EWELIG,CORE,Q,63,0.7936507936507936,0.047619047619047616,0.9047619047619048
B136,EWELIG,CORE,W,5,0.8,0.6,0.8
B136,EWELIG,EXT,D,1,0.0,0.0,0.0
B136,EWELIG,EXT,M,21,0.0,0.0,0.8095238095238095
B136,EWELIG,EXT,Q,63,0.0,0.0,0.8412698412698413
B136,EWELIG,EXT,W,5,0.0,0.0,0.8
B136,TOP05,CORE,D,1,0.0,0.0,0.0
B136,TOP05,CORE,M,21,0.0,0.0,0.8571428571428571
B136,TOP05,CORE,Q,63,0.0,0.0,0.9682539682539683
B136,TOP05,CORE,W,5,0.0,0.0,1.0
B136,TOP05,EXT,D,1,0.0,0.0,0.0
B136,TOP05,EXT,M,21,0.0,0.0,0.8571428571428571
B136,TOP05,EXT,Q,63,0.0,0.0,0.9682539682539683
B136,TOP05,EXT,W,5,0.0,0.0,1.0
B136,TOP10,CORE,D,1,0.0,0.0,0.0
B136,TOP10,CORE,M,21,0.0,0.0,1.0
B136,TOP10,CORE,Q,63,0.031746031746031744,0.0,1.0
B136,TOP10,CORE,W,5,0.2,0.0,0.6
B136,TOP10,EXT,D,1,0.0,0.0,0.0
B136,TOP10,EXT,M,21,0.0,0.0,1.0
B136,TOP10,EXT,Q,63,0.0,0.0,1.0
B136,TOP10,EXT,W,5,0.0,0.0,0.6
B136,TOP20,CORE,D,1,0.0,0.0,0.0
