panel,cost,cadence,n_fail,failrate_H1,failrate_H2,failrate_DD,failrate_CAGR,sole_H1,sole_H2,sole_DD,sole_CAGR
U56,10,D,21,0.0,0.0,0.0,0.84,0,0,0,21
U56,10,W,20,0.0,0.0,0.0,0.8,0,0,0,20
U56,10,2W,20,0.0,0.0,0.0,0.8,0,0,0,20
U56,10,M,22,0.0,0.0,0.12,0.8,0,0,2,19
U56,25,D,23,0.0,0.0,0.0,0.92,0,0,0,23
U56,25,W,21,0.0,0.0,0.0,0.84,0,0,0,21
U56,25,2W,20,0.0,0.0,0.0,0.8,0,0,0,20
U56,25,M,22,0.0,0.0,0.12,0.8,0,0,2,19
B136,10,D,24,0.0,0.0,0.0,0.96,0,0,0,24
B136,10,W,21,0.0,0.0,0.0,0.84,0,0,0,21
B136,10,2W,21,0.0,0.0,0.04,0.8,0,0,1,20
B136,10,M,23,0.0,0.0,0.2,0.8,0,0,3,18
B136,25,D,24,0.0,0.2,0.0,0.96,0,0,0,19
B136,25,W,24,0.0,0.0,0.0,0.96,0,0,0,24
B136,25,2W,25,0.0,0.0,0.04,0.96,0,0,1,24
B136,25,M,23,0.0,0.0,0.2,0.8,0,0,3,18
