panel,ladder,rung,subtape,frac,n,stat,is_path,is_trunc,value
U56,N,5,F1_1,1,4445,CAGR,False,False,17.827657775734494
U56,N,5,F1_1,1,4445,VOL,False,False,18.350795142977088
U56,N,5,F1_1,1,4445,SHARPE,False,False,0.9859646181473364
U56,N,5,F1_1,1,4445,MAXDD,True,False,-25.85359503365698
U56,N,5,F1_1,1,4445,ULCER,True,False,7.052083012352517
U56,N,5,F1_1,1,4445,CALMAR,True,False,0.6895620416629069
U56,N,5,F1_1,1,4445,Q0500,True,True,-3.5600099907087706
U56,N,5,F1_1,1,4445,Q0750,True,True,-7.720127602888661
U56,N,5,F1_1,1,4445,Q0900,True,True,-11.885911657904629
U56,N,5,F1_1,1,4445,Q0950,True,True,-15.967121294430894
U56,N,5,F1_1,1,4445,Q0990,True,True,-20.003823054475276
U56,N,5,F1_1,1,4445,Q0999,True,True,-23.937673674149426
U56,N,5,F1_1,1,4445,K0021,True,True,-17.861211971136495
U56,N,5,F1_1,1,4445,K0063,True,True,-25.85359503365698
U56,N,5,F1_1,1,4445,K0126,True,True,-25.85359503365698
U56,N,5,F1_1,1,4445,K0252,True,True,-25.85359503365698
U56,N,5,F1_1,1,4445,K0504,True,True,-25.85359503365698
U56,N,8,F1_1,1,4445,CAGR,False,False,16.83536277848363
U56,N,8,F1_1,1,4445,VOL,False,False,15.97216686978363
U56,N,8,F1_1,1,4445,SHARPE,False,False,1.0543570553801267
U56,N,8,F1_1,1,4445,MAXDD,True,False,-21.43027415284484
U56,N,8,F1_1,1,4445,ULCER,True,False,5.380140984663346
U56,N,8,F1_1,1,4445,CALMAR,True,False,0.785587839819994
U56,N,8,F1_1,1,4445,Q0500,True,True,-2.443884515616985
U56,N,8,F1_1,1,4445,Q0750,True,True,-5.712661738663542
U56,N,8,F1_1,1,4445,Q0900,True,True,-9.634134971451086
U56,N,8,F1_1,1,4445,Q0950,True,True,-11.616840616457697
U56,N,8,F1_1,1,4445,Q0990,True,True,-16.08580015397896
U56,N,8,F1_1,1,4445,Q0999,True,True,-20.01661785456287
U56,N,8,F1_1,1,4445,K0021,True,True,-15.87010024637426
U56,N,8,F1_1,1,4445,K0063,True,True,-21.43027415284484
U56,N,8,F1_1,1,4445,K0126,True,True,-21.43027415284484
U56,N,8,F1_1,1,4445,K0252,True,True,-21.43027415284484
